iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
EGY,Africa,Egypt,2020-02-14,1,1,,,,,0.009,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109262178,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,,0
EGY,Africa,Egypt,2020-02-15,1,0,,,,,0.009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109262178,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,,0.0
EGY,Africa,Egypt,2020-02-16,1,0,,,,,0.009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109262178,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,,0.0
EGY,Africa,Egypt,2020-02-17,1,0,,,,,0.009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109262178,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,,0.0
EGY,Africa,Egypt,2020-02-18,1,0,,,,,0.009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109262178,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,,0.0
EGY,Africa,Egypt,2020-02-19,1,0,0.143,,,,0.009,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109262178,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,,0.0
EGY,Africa,Egypt,2020-02-20,1,0,0.143,,,,0.009,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109262178,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,,0.0
EGY,Africa,Egypt,2020-02-21,1,0,0.0,,,,0.009,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109262178,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,,0.0
EGY,Africa,Egypt,2020-02-22,1,0,0.0,,,,0.009,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109262178,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,,0.0
EGY,Africa,Egypt,2020-02-23,1,0,0.0,,,,0.009,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109262178,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,,0.0
