iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
GUY,South America,Guyana,2020-03-12,1,1,,1,1,,1.265,1.265,,1.265,1.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0
GUY,South America,Guyana,2020-03-13,1,0,,1,0,,1.265,0.0,,1.265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-14,1,0,,1,0,,1.265,0.0,,1.265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-15,4,3,,1,0,,5.061,3.796,,1.265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-16,4,0,,1,0,,5.061,0.0,,1.265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-17,7,3,1.0,1,0,0.143,8.857,3.796,1.265,1.265,0.0,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-18,7,0,1.0,1,0,0.143,8.857,0.0,1.265,1.265,0.0,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-19,7,0,0.857,1,0,0.0,8.857,0.0,1.085,1.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-20,7,0,0.857,1,0,0.0,8.857,0.0,1.085,1.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-21,7,0,0.857,1,0,0.0,8.857,0.0,1.085,1.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-22,19,12,2.143,1,0,0.0,24.041,15.184,2.711,1.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-23,20,1,2.286,1,0,0.0,25.306,1.265,2.892,1.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-24,5,,,1,0,0.0,6.326,,,1.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-25,5,0,1.857,1,0,0.0,6.326,0.0,2.35,1.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-26,5,0,1.857,1,0,0.0,6.326,0.0,2.35,1.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-27,5,0,1.857,1,0,0.0,6.326,0.0,2.35,1.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-28,8,3,2.286,1,0,0.0,10.122,3.796,2.892,1.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-29,8,0,0.571,1,0,0.0,10.122,0.0,0.723,1.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
GUY,South America,Guyana,2020-03-30,8,0,0.429,1,0,0.0,10.122,0.0,0.542,1.265,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,,0.0
