iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
KAZ,Asia,Kazakhstan,2020-03-13,4,4,,,,,0.208,0.208,,,,,,,,,,,,,,126,,0.007,,,,,,tests performed,,,,,,,,,,,,,,22.22,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,,0
KAZ,Asia,Kazakhstan,2020-03-14,6,2,,,,,0.313,0.104,,,,,,,,,,,,,,445,319,0.023,0.017,,,,,tests performed,,,,,,,,,,,,,,22.22,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,,0.0
KAZ,Asia,Kazakhstan,2020-03-15,9,3,,,,,0.469,0.156,,,,,,,,,,,,,,652,207,0.034,0.011,,,,,tests performed,,,,,,,,,,,,,,22.22,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,,0.0
KAZ,Asia,Kazakhstan,2020-03-16,10,1,,,,,0.521,0.052,,,,,,,,,,,,,,1038,386,0.054,0.02,,,,,tests performed,,,,,,,,,,,,,,47.22,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,,0.0
KAZ,Asia,Kazakhstan,2020-03-17,33,23,,,,,1.719,1.198,,,,,,,,,,,,,,1970,932,0.103,0.049,,,,,tests performed,,,,,,,,,,,,,,47.22,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,,0.0
KAZ,Asia,Kazakhstan,2020-03-18,35,2,5.0,,,,1.823,0.104,0.26,,,,,,,,,,,,,2234,264,0.116,0.014,,,,,tests performed,,,,,,,,,,,,,,55.56,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,,0.0
KAZ,Asia,Kazakhstan,2020-03-19,44,9,6.286,,,,2.292,0.469,0.327,,,,,,,,,,,,,3284,1050,0.171,0.055,,,,,tests performed,,,,,,,,,,,,,,80.09,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,,0.0
KAZ,Asia,Kazakhstan,2020-03-20,49,5,6.429,,,,2.553,0.26,0.335,,,,,,,,,,,,,4100,816,0.214,0.043,568,0.03,0.0113,88.3,tests performed,,,,,,,,,,,,,,80.09,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,,0.0
KAZ,Asia,Kazakhstan,2020-03-21,53,4,6.714,,,,2.761,0.208,0.35,,,,,,,,,,,,,5275,1175,0.275,0.061,690,0.036,0.0097,102.8,tests performed,,,,,,,,,,,,,,80.09,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,,0.0
KAZ,Asia,Kazakhstan,2020-03-22,61,8,7.429,,,,3.178,0.417,0.387,,,,,,,,,,,,,6508,1233,0.339,0.064,837,0.044,0.0089,112.7,tests performed,,,,,,,,,,,,,,80.09,19196465,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,,0.0
