iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
COD,Africa,Democratic Republic of Congo,2020-03-11,1.0,1.0,,,,,0.011,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,
COD,Africa,Democratic Republic of Congo,2020-03-12,1.0,0.0,,,,,0.011,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,
COD,Africa,Democratic Republic of Congo,2020-03-13,2.0,1.0,,,,,0.022,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,
COD,Africa,Democratic Republic of Congo,2020-03-14,2.0,0.0,,,,,0.022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,
COD,Africa,Democratic Republic of Congo,2020-03-15,2.0,0.0,,,,,0.022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,
COD,Africa,Democratic Republic of Congo,2020-03-16,2.0,0.0,0.286,,,0.0,0.022,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,
COD,Africa,Democratic Republic of Congo,2020-03-17,3.0,1.0,0.429,,,0.0,0.032,0.011,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,
COD,Africa,Democratic Republic of Congo,2020-03-18,4.0,1.0,0.429,,,0.0,0.043,0.011,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,
COD,Africa,Democratic Republic of Congo,2020-03-19,14.0,10.0,1.857,,,0.0,0.152,0.108,0.02,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,
COD,Africa,Democratic Republic of Congo,2020-03-20,18.0,4.0,2.286,,,0.0,0.195,0.043,0.025,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,
