iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
SMR,Europe,San Marino,2020-02-29,1,1,,1,1,,29.633,29.633,,29.633,29.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,1.8,3.81,14.04,53.3396550702306,0
SMR,Europe,San Marino,2020-03-01,1,0,,1,0,,29.633,0.0,,29.633,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.0
SMR,Europe,San Marino,2020-03-02,1,0,,1,0,,29.633,0.0,,29.633,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.0
SMR,Europe,San Marino,2020-03-03,9,8,,1,0,,266.698,237.065,,29.633,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.0
SMR,Europe,San Marino,2020-03-04,9,0,,1,0,,266.698,0.0,,29.633,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.0
SMR,Europe,San Marino,2020-03-05,16,7,2.286,1,0,0.143,474.13,207.432,67.733,29.633,0.0,4.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.0
SMR,Europe,San Marino,2020-03-06,22,6,3.143,1,0,0.143,651.929,177.799,93.133,29.633,0.0,4.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.0
SMR,Europe,San Marino,2020-03-07,24,2,3.286,1,0,0.0,711.195,59.266,97.366,29.633,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.0
SMR,Europe,San Marino,2020-03-08,27,3,3.714,1,0,0.0,800.095,88.899,110.066,29.633,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.0
SMR,Europe,San Marino,2020-03-09,37,10,5.143,1,0,0.0,1096.426,296.331,152.399,29.633,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.0
SMR,Europe,San Marino,2020-03-10,49,12,5.714,2,1,0.143,1452.024,355.598,169.332,59.266,29.633,4.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.0
SMR,Europe,San Marino,2020-03-11,60,11,7.286,2,0,0.143,1777.989,325.965,215.899,59.266,0.0,4.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.01
SMR,Europe,San Marino,2020-03-12,60,0,6.286,2,0,0.143,1777.989,0.0,186.265,59.266,0.0,4.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.01
SMR,Europe,San Marino,2020-03-13,64,4,6.0,5,3,0.571,1896.521,118.533,177.799,148.166,88.899,16.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.01
SMR,Europe,San Marino,2020-03-14,77,13,7.571,5,0,0.571,2281.752,385.231,224.365,148.166,0.0,16.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.01
SMR,Europe,San Marino,2020-03-15,77,0,7.143,5,0,0.571,2281.752,0.0,211.665,148.166,0.0,16.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.01
SMR,Europe,San Marino,2020-03-16,77,0,5.714,5,0,0.571,2281.752,0.0,169.332,148.166,0.0,16.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.01
SMR,Europe,San Marino,2020-03-17,102,25,7.571,9,4,1.0,3022.58,740.829,224.365,266.698,118.533,29.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.01
SMR,Europe,San Marino,2020-03-18,104,2,6.286,11,2,1.286,3081.847,59.266,186.265,325.965,59.266,38.1,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.03
SMR,Europe,San Marino,2020-03-19,109,5,7.0,14,3,1.714,3230.012,148.166,207.432,414.864,88.899,50.8,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.03
SMR,Europe,San Marino,2020-03-20,126,17,8.857,14,0,1.286,3733.776,503.763,262.465,414.864,0.0,38.1,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.04
SMR,Europe,San Marino,2020-03-21,151,25,10.571,20,6,2.143,4474.604,740.829,313.265,592.663,177.799,63.5,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.04
SMR,Europe,San Marino,2020-03-22,175,24,14.0,20,0,2.143,5185.8,711.195,414.864,592.663,0.0,63.5,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.06
SMR,Europe,San Marino,2020-03-23,187,12,15.714,20,0,2.143,5541.397,355.598,465.664,592.663,0.0,63.5,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.06
SMR,Europe,San Marino,2020-03-24,187,0,12.143,21,1,1.714,5541.397,0.0,359.831,622.296,29.633,50.8,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.06
SMR,Europe,San Marino,2020-03-25,208,21,14.857,21,0,1.429,6163.693,622.296,440.264,622.296,0.0,42.333,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.06
SMR,Europe,San Marino,2020-03-26,218,10,15.571,21,0,1.0,6460.025,296.331,461.43,622.296,0.0,29.633,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.06
SMR,Europe,San Marino,2020-03-27,223,5,13.857,21,0,1.0,6608.191,148.166,410.631,622.296,0.0,29.633,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.06
SMR,Europe,San Marino,2020-03-28,228,5,11.0,22,1,0.286,6756.356,148.166,325.965,651.929,29.633,8.467,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.06
SMR,Europe,San Marino,2020-03-29,228,0,7.571,22,0,0.286,6756.356,0.0,224.365,651.929,0.0,8.467,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.06
SMR,Europe,San Marino,2020-03-30,230,2,6.143,25,3,0.714,6815.623,59.266,182.032,740.829,88.899,21.167,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.06
SMR,Europe,San Marino,2020-03-31,236,6,7.0,26,1,0.714,6993.421,177.799,207.432,770.462,29.633,21.167,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,30.0,43.48,129.36,888.994251170509,0.07
SMR,Europe,San Marino,2020-04-01,236,0,4.0,28,2,1.0,6993.421,0.0,118.533,829.728,59.266,29.633,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.07
SMR,Europe,San Marino,2020-04-02,236,0,2.571,28,0,1.0,6993.421,0.0,76.2,829.728,0.0,29.633,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.08
SMR,Europe,San Marino,2020-04-03,245,9,3.143,30,2,1.286,7260.12,266.698,93.133,888.994,59.266,38.1,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.08
SMR,Europe,San Marino,2020-04-04,252,7,3.429,32,2,1.429,7467.552,207.432,101.599,948.261,59.266,42.333,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.08
SMR,Europe,San Marino,2020-04-05,259,7,4.429,32,0,1.429,7674.984,207.432,131.232,948.261,0.0,42.333,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
SMR,Europe,San Marino,2020-04-06,266,7,5.143,32,0,1.0,7882.416,207.432,152.399,948.261,0.0,29.633,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
SMR,Europe,San Marino,2020-04-07,277,11,5.857,32,0,0.857,8208.38,325.965,173.566,948.261,0.0,25.4,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
SMR,Europe,San Marino,2020-04-08,279,2,6.143,34,2,0.857,8267.647,59.266,182.032,1007.527,59.266,25.4,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
SMR,Europe,San Marino,2020-04-09,308,29,10.286,34,0,0.857,9127.008,859.361,304.798,1007.527,0.0,25.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.33,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
SMR,Europe,San Marino,2020-04-10,344,36,14.143,34,0,0.571,10193.801,1066.793,419.097,1007.527,0.0,16.933,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
SMR,Europe,San Marino,2020-04-11,344,0,13.143,34,0,0.286,10193.801,0.0,389.464,1007.527,0.0,8.467,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
SMR,Europe,San Marino,2020-04-12,356,12,13.857,35,1,0.429,10549.398,355.598,410.631,1037.16,29.633,12.7,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
SMR,Europe,San Marino,2020-04-13,356,0,12.857,35,0,0.429,10549.398,0.0,380.998,1037.16,0.0,12.7,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
SMR,Europe,San Marino,2020-04-14,371,15,13.429,36,1,0.571,10993.896,444.497,397.931,1066.793,29.633,16.933,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
SMR,Europe,San Marino,2020-04-15,372,1,13.286,36,0,0.286,11023.529,29.633,393.697,1066.793,0.0,8.467,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
SMR,Europe,San Marino,2020-04-16,393,21,12.143,36,0,0.286,11645.825,622.296,359.831,1066.793,0.0,8.467,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
SMR,Europe,San Marino,2020-04-17,426,33,11.714,38,2,0.571,12623.718,977.894,347.131,1126.059,59.266,16.933,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.59,33746,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,,0.09
