iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
GIB,Europe,Gibraltar,2021-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.0,420.0,,,,,1.25,1.25,,,,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445.0,1445.0,,,1025.0,1025.0,4.29,4.29,,,30424.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2501.0,2501.0,,,1056.0,1040.0,7.42,7.42,,,30869.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986.0,,,,,29266.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959.0,,,,,28465.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5135.0,5135.0,,,,943.0,15.24,15.24,,,27990.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5847.0,5847.0,,,712.0,904.0,17.35,17.35,,,26832.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5847.0,5847.0,,,0.0,775.0,17.35,17.35,,,23003.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6435.0,6435.0,,,588.0,713.0,19.1,19.1,,,21163.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7017.0,7017.0,,,582.0,645.0,20.83,20.83,,,19145.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7017.0,7017.0,,,0.0,520.0,20.83,20.83,,,15434.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7947.0,7947.0,,,930.0,527.0,23.59,23.59,,,15642.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8877.0,8877.0,,,930.0,535.0,26.35,26.35,,,15880.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9807.0,9807.0,,,930.0,566.0,29.11,29.11,,,16800.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10341.0,10341.0,,,534.0,642.0,30.69,30.69,,,19056.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10539.0,10539.0,,,198.0,586.0,31.28,31.28,,,17393.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11073.0,11073.0,,,534.0,579.0,32.87,32.87,,,17186.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11607.0,11073.0,,,534.0,656.0,34.45,32.87,,,19471.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12332.0,12332.0,,,725.0,626.0,36.6,36.6,,,18581.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12866.0,12866.0,,,534.0,570.0,38.19,38.19,,,16918.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12866.0,12866.0,,,0.0,437.0,38.19,38.19,,,12971.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13286.0,12886.0,400.0,,420.0,421.0,39.43,38.25,1.19,,12496.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,20.4,6.02,163.31
GIB,Europe,Gibraltar,2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14299.0,12974.0,1325.0,,1013.0,537.0,42.44,38.51,3.93,,15939.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15391.0,13071.0,2320.0,,1092.0,617.0,45.68,38.8,6.89,,18313.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16177.0,13166.0,3011.0,,786.0,653.0,48.02,39.08,8.94,,19382.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17189.0,13246.0,3943.0,,1012.0,694.0,51.02,39.32,11.7,,20599.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18274.0,13398.0,4876.0,,1085.0,773.0,54.24,39.77,14.47,,22944.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19072.0,13499.0,5573.0,,798.0,887.0,56.61,40.07,16.54,,26328.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19072.0,13499.0,5573.0,,0.0,827.0,56.61,40.07,16.54,,24547.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20044.0,13904.0,6140.0,,972.0,821.0,59.49,41.27,18.22,,24369.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21021.0,14302.0,6719.0,,977.0,804.0,62.39,42.45,19.94,,23864.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21999.0,15262.0,6737.0,,978.0,832.0,65.3,45.3,20.0,,24695.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23103.0,15436.0,7667.0,,1104.0,845.0,68.57,45.82,22.76,,25081.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24195.0,15600.0,8595.0,,1092.0,846.0,71.81,46.3,25.51,,25111.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25287.0,15765.0,9522.0,,1092.0,888.0,75.06,46.79,28.26,,26357.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
GIB,Europe,Gibraltar,2021-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25941.0,15888.0,10053.0,,654.0,981.0,77.0,47.16,29.84,,29118.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,,,
