iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2021-11-10,156414.0,17.0,13.0,7291.0,1.0,1.0,3926.505,0.427,0.326,183.028,0.025,0.025,0.87,,,,,,,,,,,,,,,,,,5852810.0,3097293.0,2755517.0,,,99520.0,14.69,7.78,6.92,,2498.0,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2021-11-10,8547113.0,7109.0,4838.286,220055.0,216.0,183.571,6222.932,5.176,3.523,160.216,0.157,0.134,,,,,,,,,,,,,,,,,,,208621262.0,130167027.0,87092146.0,213310.0,2216715.0,1260147.0,15.19,9.48,6.34,0.02,917.0,,1373486472.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2021-11-10,190815.0,690.0,574.571,2975.0,5.0,5.0,66418.163,240.173,199.995,1035.527,1.74,1.74,1.2,,,,,,,,,,,,,,,,,,1963359.0,1037546.0,910845.0,14968.0,2472.0,6447.0,68.34,36.11,31.7,0.52,2244.0,46.3,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2021-11-10,207509.0,124.0,107.857,5960.0,6.0,4.143,4650.934,2.779,2.417,133.582,0.134,0.093,1.0,15.0,0.336,,,,,,,,,,,,,,,,11271319.0,6399209.0,4872110.0,,,20751.0,25.26,14.34,10.92,,465.0,39.81,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,2021-11-10,15744.0,27.0,24.571,130.0,0.0,0.0,203531.815,349.045,317.649,1680.585,0.0,0.0,1.43,,,,,,,,,,222097.0,2871.177,,202.0,2.611,0.064,15.5,people tested,,,,,,,,,,,,40.74,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,2021-11-10,64815.0,53.0,40.286,1723.0,0.0,1.0,1910.053,1.562,1.187,50.776,0.0,0.029,0.57,,,,,,,,,,,,,,,,,,7246966.0,5269623.0,1977343.0,,,105320.0,21.36,15.53,5.83,,3104.0,63.43,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18706.0,9548.0,9158.0,,,0.0,123.68,63.13,60.55,,0.0,,15125.0,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,2021-11-10,4102.0,11.0,4.714,105.0,0.0,0.429,41548.497,111.417,47.75,1063.528,0.0,4.341,0.65,,,,,,,,,,,,,,,,,,111186.0,58497.0,52689.0,,,609.0,112.62,59.25,53.37,,6168.0,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,2021-11-10,5300985.0,1567.0,1205.143,116184.0,19.0,22.143,116234.828,34.36,26.425,2547.569,0.417,0.486,1.01,,,,,,,,,38098.0,25271072.0,554.119,0.835,35803.0,0.785,0.029,34.5,tests performed,62161660.0,35406164.0,26875476.0,,201925.0,239046.0,136.3,77.64,58.93,,5242.0,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2021-11-10,324039.0,1675.0,1623.571,6831.0,69.0,48.571,109172.852,564.329,547.002,2301.451,23.247,16.364,0.97,,,,,,,,,6220.0,2183118.0,735.52,2.096,10409.0,3.507,0.163,6.2,tests performed,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
ABW,North America,Aruba,2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160328.0,83077.0,77251.0,,158.0,66.0,149.57,77.5,72.07,,616.0,,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,
OWID_ASI,,Asia,2021-11-10,80325309.0,84177.0,94124.714,1189806.0,907.0,1339.143,17169.232,17.993,20.119,254.317,0.194,0.286,,,,,,,,,,,,,,,,,,,4986097493.0,2762110593.0,2082931980.0,65066218.0,13502131.0,20434482.0,106.58,59.04,44.52,1.39,4368.0,,4678444992.0,,,,,,,,,,,,,,,,,,
AUS,Oceania,Australia,2021-11-10,185627.0,1556.0,1402.0,1862.0,4.0,11.571,7198.132,60.338,54.366,72.204,0.155,0.449,0.86,,,,,,,,,140754.0,44459987.0,1724.043,5.458,154009.0,5.972,0.009,112.9,tests performed,37222034.0,19417387.0,17582957.0,221690.0,153985.0,148196.0,144.34,75.3,68.18,0.86,5747.0,60.65,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
AUT,Europe,Austria,2021-11-10,911175.0,11398.0,9109.571,11577.0,23.0,25.286,100759.454,1260.412,1007.354,1280.207,2.543,2.796,1.5,293.0,32.4,1181.0,130.597,,,,,454958.0,101090403.0,11178.768,50.31,464703.0,51.388,0.018,54.9,tests performed,11875114.0,6012532.0,5686118.0,509379.0,53690.0,44190.0,131.32,66.49,62.88,5.63,4887.0,57.41,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,,,,
AZE,Asia,Azerbaijan,2021-11-10,552322.0,1876.0,2188.286,7342.0,22.0,27.0,54025.571,183.502,214.048,718.16,2.152,2.641,1.12,,,,,,,,,8034.0,5292250.0,517.663,0.786,12793.0,1.251,0.179,5.6,tests performed,9941341.0,5001669.0,4442475.0,497197.0,12403.0,28309.0,97.24,48.92,43.45,4.86,2769.0,32.41,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756,,,,
BHS,North America,Bahamas,2021-11-10,22544.0,-48.0,16.429,661.0,0.0,2.571,56798.198,-120.933,41.391,1665.348,0.0,6.479,0.67,,,,,,,,,571.0,158661.0,399.736,1.439,345.0,0.869,0.07,14.2,tests performed,263795.0,143726.0,128242.0,,,1244.0,66.46,36.21,32.31,,3134.0,,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHR,Asia,Bahrain,2021-11-10,277138.0,25.0,26.0,1393.0,0.0,0.0,158519.014,14.3,14.872,796.776,0.0,0.0,0.82,,,,,,,,,15541.0,7050321.0,4032.684,8.889,16063.0,9.188,0.002,502.0,units unclear,2811711.0,1182470.0,1146822.0,,3599.0,3810.0,160.83,67.64,65.6,,2179.0,29.63,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,
BGD,Asia,Bangladesh,2021-11-10,1571669.0,235.0,204.429,27906.0,2.0,3.714,9450.607,1.413,1.229,167.802,0.012,0.022,0.88,,,,,,,,,,,,,,,,,,81082237.0,49114910.0,31967327.0,,2725515.0,1195770.0,48.76,29.53,19.22,,7190.0,23.15,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,
BRB,North America,Barbados,2021-11-10,21011.0,335.0,308.429,187.0,4.0,3.286,73028.904,1164.375,1072.019,649.965,13.903,11.42,1.13,,,,,,,,,,,,,,,,,,281006.0,150639.0,130367.0,,603.0,646.0,97.67,52.36,45.31,,2245.0,67.59,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,,,,
BLR,Europe,Belarus,2021-11-10,619708.0,1989.0,1953.571,4789.0,16.0,15.714,65627.102,210.635,206.883,507.155,1.694,1.664,0.99,,,,,,,,,40232.0,9874866.0,1045.749,4.261,27300.0,2.891,0.07,14.3,tests performed,,,,,,,,,,,,19.44,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,,,,
BEL,Europe,Belgium,2021-11-10,1463548.0,24718.0,10027.143,26261.0,61.0,25.429,125817.226,2124.939,862.006,2257.586,5.244,2.186,1.69,276.0,23.727,1511.0,129.897,,,752.105,64.656,39339.0,22447077.0,1929.714,3.382,74190.0,6.378,0.119,8.4,tests performed,16942805.0,8748035.0,8603783.0,756965.0,4360.0,5659.0,145.65,75.2,73.96,6.51,486.0,45.83,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,,,,
BLZ,North America,Belize,2021-11-10,28568.0,406.0,149.286,530.0,21.0,4.429,70553.079,1002.68,368.684,1308.917,51.863,10.937,1.09,,,,,,,,,,321004.0,792.769,,1354.0,3.344,0.107,9.4,tests performed,391846.0,225088.0,202333.0,,,1057.0,96.77,55.59,49.97,,2610.0,,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,,,,
BEN,Africa,Benin,2021-11-10,24833.0,29.0,4.143,161.0,0.0,0.0,1994.453,2.329,0.333,12.931,0.0,0.0,0.59,,,,,,,,,,,,,,,,,,347270.0,304596.0,265501.0,,,6213.0,2.79,2.45,2.13,,499.0,37.04,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,
BMU,North America,Bermuda,2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101341.0,48464.0,47365.0,5512.0,,1224.0,163.21,78.05,76.28,8.88,19713.0,47.22,62092.0,1308.82,,,,50669.315,,139.547,13.0,,,,,82.59,,,,,
BTN,Asia,Bhutan,2021-11-10,2623.0,0.0,0.143,3.0,0.0,0.0,3363.252,0.0,0.183,3.847,0.0,0.0,0.63,,,,,,,,,2150.0,1209931.0,1551.392,2.757,1537.0,1.971,0.0,5374.1,samples tested,1148146.0,588307.0,559839.0,,,6241.0,147.22,75.43,71.78,,8002.0,47.22,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,
BOL,South America,Bolivia,2021-11-10,519669.0,799.0,712.857,18976.0,6.0,5.714,43917.165,67.523,60.243,1603.659,0.507,0.483,1.24,,,,,,,,,3092.0,2647751.0,223.761,0.261,5117.0,0.432,0.121,8.3,tests performed,7943468.0,4619842.0,3913343.0,357585.0,82022.0,17874.0,67.13,39.04,33.07,3.02,1511.0,35.19,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
