iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2021-11-27,157190.0,19.0,46.571,7308.0,1.0,-7.857,3945.985,0.477,1.169,183.455,0.025,-0.197,1.27,,,,,,,,,,,,,,,,,,5116767.0,4285440.0,3454113.0,,,162172.0,12.84,10.76,8.67,,4071.0,116472.0,0.292,27.78,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2021-11-27,8632315.0,8236.0,4794.714,222501.0,133.0,144.857,6284.965,5.996,3.491,161.997,0.097,0.105,,,,,,,,,,,,,,,,,,,234680995.0,147778796.0,98143667.0,382785.0,832564.0,1636725.0,17.09,10.76,7.15,0.03,1192.0,1239258.0,0.09,,1373486472.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2021-11-27,199137.0,405.0,449.857,3085.0,8.0,7.143,69314.854,140.971,156.585,1073.815,2.785,2.486,0.98,,,,,,,,,,,,,,,,,,2081782.0,1067769.0,953489.0,60524.0,7112.0,6859.0,72.46,37.17,33.19,2.11,2387.0,1726.0,0.06,45.37,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2021-11-27,209980.0,163.0,163.0,6052.0,6.0,5.0,4706.317,3.653,3.653,135.645,0.134,0.112,1.17,23.0,0.516,,,,,,,,,,,,,,,,12032500.0,6703364.0,5314016.0,13167.0,23526.0,71092.0,26.97,15.02,11.91,0.03,1593.0,27753.0,0.062,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,2021-11-27,16712.0,0.0,89.429,131.0,0.0,0.143,216045.712,0.0,1156.095,1693.513,0.0,1.847,1.78,,,,,,,,,,228231.0,2950.474,,380.0,4.912,0.147,6.8,people tested,,,,,,,,,,,,,,51.85,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,2021-11-27,65139.0,9.0,18.286,1733.0,0.0,0.429,1919.601,0.265,0.539,51.07,0.0,0.013,0.63,,,,,,,,,,,,,,,,,,9026310.0,6266044.0,2760266.0,,,122159.0,26.6,18.47,8.13,,3600.0,48132.0,0.142,55.09,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19066.0,9906.0,9160.0,,,41.0,126.06,65.49,60.56,,2711.0,40.0,0.264,,15125.0,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,2021-11-27,4141.0,0.0,0.857,117.0,0.0,1.286,41943.522,0.0,8.682,1185.074,0.0,13.023,0.65,,,,,,,,,,,,,,,,,,117072.0,61271.0,55801.0,,,226.0,118.58,62.06,56.52,,2289.0,69.0,0.07,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,2021-11-27,5325560.0,1521.0,1551.143,116517.0,12.0,20.429,116773.685,33.351,34.012,2554.871,0.263,0.448,1.14,,,,,,,,,24889.0,25933975.0,568.655,0.546,35828.0,0.786,0.037,27.0,tests performed,67104574.0,36389533.0,28990917.0,1590630.0,300974.0,255640.0,147.14,79.79,63.57,3.49,5605.0,55608.0,0.122,42.59,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2021-11-27,337522.0,517.0,562.714,7485.0,26.0,33.143,113715.446,174.184,189.586,2521.792,8.76,11.166,0.68,,,,,,,,,7666.0,2334501.0,786.523,2.583,7613.0,2.565,0.083,12.1,tests performed,1110891.0,738887.0,372004.0,,,15200.0,37.43,24.89,12.53,,5121.0,8100.0,0.273,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
