iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
AFG,Asia,Afghanistan,2022-04-15,178373.0,21.0,57.0,7676.0,0.0,0.714,4477.748,0.527,1.431,192.693,0.0,0.018,0.59,,,,,,,,,,,,,,,,,,5940400.0,5246981.0,4595506.0,,,6772.0,14.91,13.17,11.54,,170.0,5892.0,0.015,16.67,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
OWID_AFR,,Africa,2022-04-15,11605641.0,2273.0,3018.714,252476.0,8.0,36.143,8449.767,1.655,2.198,183.821,0.006,0.026,,,,,,,,,,,,,,,,,,,474304119.0,291683286.0,221781833.0,20117573.0,2322583.0,2205021.0,34.53,21.24,16.15,1.46,1605.0,1004107.0,0.073,,1373486472.0,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2022-04-15,274429.0,53.0,41.857,3495.0,0.0,0.429,95522.208,18.448,14.569,1216.526,0.0,0.149,0.87,,,,,,,,,1603120.0,1110.0,558.008,0.386,252.0,0.088,0.15,6.7,tests performed,2793310.0,1287062.0,1223943.0,282305.0,,1805.0,97.23,44.8,42.6,9.83,628.0,395.0,0.014,,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
DZA,Africa,Algeria,2022-04-16,265738.0,5.0,3.429,6874.0,0.0,0.0,5956.031,0.112,0.077,154.068,0.0,0.0,0.56,1.0,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
AND,Europe,Andorra,2022-04-15,40709.0,381.0,97.857,153.0,0.0,0.0,526268.842,4925.408,1265.056,1977.92,0.0,0.0,0.42,,,,,,,,,,,,,,,,,,152301.0,57850.0,53406.0,41045.0,,8.0,196.89,74.79,69.04,53.06,103.0,1.0,0.001,8.33,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
AGO,Africa,Angola,2022-04-15,99194.0,0.0,0.0,1900.0,0.0,0.0,2923.178,0.0,0.0,55.992,0.0,0.0,0.32,,,,,,,,,1499795.0,,44.198,,760.0,0.022,0.005,212.8,tests performed,,,,,,,,,,,,,,42.59,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
AIA,North America,Anguilla,2022-04-15,2731.0,0.0,2.0,9.0,0.0,0.0,180561.983,0.0,132.231,595.041,0.0,0.0,,,,,,,,,,,,,,,,,,,23126.0,10622.0,9874.0,2630.0,,59.0,152.9,70.23,65.28,17.39,3901.0,7.0,0.046,,15125.0,,,,,,,,,,,,,81.88,,,,,
ATG,North America,Antigua and Barbuda,2022-04-15,7535.0,0.0,3.429,135.0,0.0,0.0,76320.801,0.0,34.727,1367.393,0.0,0.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
ARG,South America,Argentina,2022-04-15,9059944.0,593.0,1243.0,128327.0,21.0,19.0,198657.614,13.003,27.255,2813.829,0.46,0.417,0.7,429.0,9.407,,,,,,,35601172.0,11709.0,780.628,0.257,14154.0,0.31,0.051,19.6,tests performed,97576837.0,40982231.0,37110447.0,19792401.0,0.0,36874.0,213.96,89.86,81.37,43.4,809.0,1938.0,0.004,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
ARM,Asia,Armenia,2022-04-15,422729.0,8.0,12.286,8621.0,0.0,0.286,142422.766,2.695,4.139,2904.524,0.0,0.096,0.58,,,,,,,,,3012103.0,3171.0,1014.816,1.068,2544.0,0.857,0.005,200.0,tests performed,2141957.0,1128072.0,980101.0,39849.0,,2495.0,72.17,38.01,33.02,1.34,841.0,671.0,0.023,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
