iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
NAM,Africa,Namibia,2020-03-14,2,2,,,,,0.773,0.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0
NAM,Africa,Namibia,2020-03-15,2,0,,,,,0.773,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-16,2,0,,,,,0.773,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-17,2,0,,,,,0.773,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-18,2,0,,,,,0.773,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-19,3,1,0.429,,,,1.159,0.386,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-20,3,0,0.429,,,,1.159,0.0,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-21,3,0,0.143,,,,1.159,0.0,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-22,3,0,0.143,,,,1.159,0.0,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-23,4,1,0.286,,,,1.546,0.386,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-24,7,3,0.714,,,,2.705,1.159,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-25,7,0,0.714,,,,2.705,0.0,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-26,8,1,0.714,,,,3.092,0.386,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.78,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-27,8,0,0.714,,,,3.092,0.0,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-28,8,0,0.714,,,,3.092,0.0,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-29,11,3,1.143,,,,4.251,1.159,0.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-30,11,0,1.0,,,,4.251,0.0,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-03-31,11,0,0.571,,,,4.251,0.0,0.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-01,14,3,1.0,,,,5.411,1.159,0.386,,,,,,,,,,,,,,306,0.118,,,,,,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-02,14,0,0.857,,,,5.411,0.0,0.331,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-03,14,0,0.857,,,,5.411,0.0,0.331,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-04,14,0,0.857,,,,5.411,0.0,0.331,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-05,16,2,0.714,,,,6.184,0.773,0.276,,,,,,,,,,,,,,362,0.14,,,,,,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-06,16,0,0.714,,,,6.184,0.0,0.276,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-07,16,0,0.714,,,,6.184,0.0,0.276,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-08,16,0,0.286,,,,6.184,0.0,0.11,,,,,,,,,,,,,,,,,12,0.005,0.0238,42.0,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-09,16,0,0.286,,,,6.184,0.0,0.11,,,,,,,,,,,,,,,,,11,0.004,0.026,38.5,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-10,16,0,0.286,,,,6.184,0.0,0.11,,,,,,,,,,,,,,,,,11,0.004,0.026,38.5,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-11,16,0,0.286,,,,6.184,0.0,0.11,,,,,,,,,,,,,,,,,10,0.004,0.0286,35.0,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-12,16,0,0.0,,,,6.184,0.0,0.0,,,,,,,,,,,,,,,,,9,0.003,0.0,,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-13,16,0,0.0,,,,6.184,0.0,0.0,,,,,,,,,,,,,,,,,9,0.003,0.0,,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-14,16,0,0.0,,,,6.184,0.0,0.0,,,,,,,,,,,,,,,,,9,0.003,0.0,,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
NAM,Africa,Namibia,2020-04-15,16,0,0.0,,,,6.184,0.0,0.0,,,,,,,,,,,,,,454,0.175,,9,0.003,0.0,,tests performed,,,,,,,,,,,,,,66.67,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,0.0
