iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
UZB,Asia,Uzbekistan,2020-03-15,1,1,,,,,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0
UZB,Asia,Uzbekistan,2020-03-16,6,5,,,,,0.173,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-17,10,4,,,,,0.289,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-18,15,5,,,,,0.433,0.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-19,23,8,,,,,0.664,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-20,33,10,4.714,,,,0.953,0.289,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-21,43,10,6.143,,,,1.242,0.289,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-22,43,0,6.0,,,,1.242,0.0,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-23,46,3,5.714,,,,1.328,0.087,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-24,50,4,5.714,,,,1.444,0.116,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-25,60,10,6.429,,,,1.733,0.289,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-26,75,15,7.429,,,,2.166,0.433,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-27,88,13,7.857,1,1,,2.541,0.375,0.227,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-28,104,16,8.714,2,1,,3.003,0.462,0.252,0.058,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-29,144,40,14.429,2,0,,4.159,1.155,0.417,0.058,0.0,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-30,149,5,14.714,2,0,,4.303,0.144,0.425,0.058,0.0,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-31,172,23,17.429,2,0,,4.967,0.664,0.503,0.058,0.0,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,66.0,0.18,-7.05,1.90599142049729,0.0
UZB,Asia,Uzbekistan,2020-04-01,181,9,17.286,2,0,0.286,5.227,0.26,0.499,0.058,0.0,0.008,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
UZB,Asia,Uzbekistan,2020-04-02,205,24,18.571,2,0,0.286,5.92,0.693,0.536,0.058,0.0,0.008,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,,0.0
