iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
UZB,Asia,Uzbekistan,2020-03-15,1,1,,,,,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,34081449,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,,,,0
UZB,Asia,Uzbekistan,2020-03-16,6,5,,,,,0.176,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,34081449,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-17,10,4,,,,,0.293,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,34081449,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-18,15,5,,,,,0.44,0.147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,34081449,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-19,23,8,,,,,0.675,0.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,34081449,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-20,33,10,4.714,,,,0.968,0.293,0.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,34081449,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-21,43,10,6.143,,,,1.262,0.293,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,34081449,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-22,43,0,6.0,,,,1.262,0.0,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,34081449,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-23,46,3,5.714,,,,1.35,0.088,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,34081449,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,,,,0.0
UZB,Asia,Uzbekistan,2020-03-24,50,4,5.714,,,,1.467,0.117,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,34081449,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,,,,,0.0
