iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
ABW,North America,Aruba,2020-03-13,2,2,,,,,18.787,18.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,,0
ABW,North America,Aruba,2020-03-14,2,0,,,,,18.787,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,,0.0
ABW,North America,Aruba,2020-03-15,2,0,,,,,18.787,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,,0.0
ABW,North America,Aruba,2020-03-16,2,0,,,,,18.787,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,,0.0
ABW,North America,Aruba,2020-03-17,3,1,,,,,28.18,9.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,,0.0
ABW,North America,Aruba,2020-03-18,4,1,0.571,,,,37.573,9.393,5.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,,0.0
ABW,North America,Aruba,2020-03-19,4,0,0.571,,,,37.573,0.0,5.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,,0.0
ABW,North America,Aruba,2020-03-20,5,1,0.429,,,,46.966,9.393,4.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,,0.0
ABW,North America,Aruba,2020-03-21,5,0,0.429,,,,46.966,0.0,4.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,,0.0
ABW,North America,Aruba,2020-03-22,9,4,1.0,,,,84.54,37.573,9.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,106459,,,,,0.0
