iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
COL,South America,Colombia,2020-03-06,1.0,1.0,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,
COL,South America,Colombia,2020-03-07,1.0,0.0,,,,,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,
COL,South America,Colombia,2020-03-08,1.0,0.0,,,,,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,-319.6,-0.67,-2.95
COL,South America,Colombia,2020-03-09,1.0,0.0,,,,,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,
COL,South America,Colombia,2020-03-10,3.0,2.0,,,,,0.059,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,
COL,South America,Colombia,2020-03-11,9.0,6.0,1.286,,,0.0,0.176,0.117,0.025,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.81,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,
COL,South America,Colombia,2020-03-12,9.0,0.0,1.286,,,0.0,0.176,0.0,0.025,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,
COL,South America,Colombia,2020-03-13,13.0,4.0,1.714,,,0.0,0.254,0.078,0.033,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,
COL,South America,Colombia,2020-03-14,22.0,9.0,3.0,,,0.0,0.429,0.176,0.059,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,
COL,South America,Colombia,2020-03-15,34.0,12.0,4.714,,,0.0,0.663,0.234,0.092,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,-579.0,-1.1,-5.5
