iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
MUS,Africa,Mauritius,2020-03-18,3,3,,,,,2.309,2.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478,,,,,0
MUS,Africa,Mauritius,2020-03-19,3,0,,,,,2.309,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478,,,,,0.0
MUS,Africa,Mauritius,2020-03-20,7,4,,,,,5.387,3.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478,,,,,0.0
MUS,Africa,Mauritius,2020-03-21,12,5,,,,,9.234,3.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478,,,,,0.0
MUS,Africa,Mauritius,2020-03-22,14,2,,,,,10.774,1.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478,,,,,0.0
MUS,Africa,Mauritius,2020-03-23,24,10,3.429,,,,18.469,7.695,2.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478,,,,,0.0
MUS,Africa,Mauritius,2020-03-24,36,12,5.143,,,,27.703,9.234,3.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478,,,,,0.0
MUS,Africa,Mauritius,2020-03-25,42,6,5.571,2,2,,32.321,4.617,4.287,1.539,1.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478,,,,,0.0
MUS,Africa,Mauritius,2020-03-26,48,6,6.429,2,0,,36.938,4.617,4.947,1.539,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478,,,,,0.0
MUS,Africa,Mauritius,2020-03-27,82,34,10.714,2,0,,63.102,26.164,8.245,1.539,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478,,,,,0.0
