iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
OWID_SAM,,South America,2020-02-22,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-02-23,2.0,2.0,,,0.0,,0.005,0.005,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-02-24,2.0,0.0,,,0.0,,0.005,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-02-25,2.0,0.0,,,0.0,,0.005,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-02-26,3.0,1.0,,,0.0,,0.007,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-02-27,3.0,0.0,,,0.0,,0.007,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-02-28,3.0,0.0,0.429,,0.0,0.0,0.007,0.0,0.001,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-02-29,4.0,1.0,0.571,,0.0,0.0,0.009,0.002,0.001,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-03-01,17.0,13.0,2.143,,0.0,0.0,0.039,0.03,0.005,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-03-02,17.0,0.0,2.143,,0.0,0.0,0.039,0.0,0.005,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-03-03,20.0,3.0,2.571,,0.0,0.0,0.046,0.007,0.006,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-03-04,25.0,5.0,3.143,,0.0,0.0,0.058,0.012,0.007,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-03-05,31.0,6.0,4.0,,0.0,0.0,0.071,0.014,0.009,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-03-06,43.0,12.0,5.714,1.0,1.0,0.143,0.099,0.028,0.013,0.002,0.002,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-03-07,49.0,6.0,6.429,1.0,0.0,0.143,0.113,0.014,0.015,0.002,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
OWID_SAM,,South America,2020-03-08,74.0,25.0,8.143,3.0,2.0,0.429,0.17,0.058,0.019,0.007,0.005,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434260138.0,,,,,,,,,,,,,,,,,
