iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
BGD,Asia,Bangladesh,2020-03-03,,,,,,,,,,,,,,,,,,,,,,108.0,108.0,0.001,0.001,,,,,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-04,,,,,,,,,,,,,,,,,,,,,,3.0,111.0,0.001,0.0,,,,,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-06,,,,,,,,,,,,,,,,,,,,,,9.0,120.0,0.001,0.0,,,,,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-07,,,,,,,,,,,,,,,,,,,,,,7.0,127.0,0.001,0.0,,,,,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-08,3,3,,,,,0.018,0.018,,,,,,,,,,,,,,10.0,137.0,0.001,0.0,,,,,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-09,3,0,,,,,0.018,0.0,,,,,,,,,,,,,,10.0,147.0,0.001,0.0,,,,,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-10,3,0,,,,,0.018,0.0,,,,,,,,,,,,,,16.0,163.0,0.001,0.0,8.0,0.0,,,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-11,3,0,,,,,0.018,0.0,,,,,,,,,,,,,,24.0,187.0,0.001,0.0,11.0,0.0,,,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-12,3,0,,,,,0.018,0.0,,,,,,,,,,,,,,24.0,211.0,0.001,0.0,14.0,0.0,,,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-13,3,0,0.429,,,0.0,0.018,0.0,0.003,,,0.0,,,,,,,,,,30.0,241.0,0.001,0.0,17.0,0.0,0.025,39.6,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-14,3,0,0.429,,,0.0,0.018,0.0,0.003,,,0.0,,,,,,,,,,27.0,268.0,0.002,0.0,20.0,0.0,0.021,46.6,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-15,5,2,0.286,,,0.0,0.03,0.012,0.002,,,0.0,,,,,,,,,,25.0,293.0,0.002,0.0,22.0,0.0,0.013,76.9,tests performed,,,,,,,,,,,,13.89,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-16,8,3,0.714,,,0.0,0.048,0.018,0.004,,,0.0,,,,,,,,,,49.0,342.0,0.002,0.0,28.0,0.0,0.025,39.2,tests performed,,,,,,,,,,,,33.33,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-17,10,2,1.0,,,0.0,0.06,0.012,0.006,,,0.0,,,,,,,,,,39.0,381.0,0.002,0.0,31.0,0.0,0.032,31.0,tests performed,,,,,,,,,,,,33.33,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-18,14,4,1.571,1,1,0.143,0.084,0.024,0.009,0.006,0.006,0.001,,,,,,,,,,46.0,427.0,0.003,0.0,34.0,0.0,0.046,21.6,tests performed,,,,,,,,,,,,33.33,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-19,17,3,2.0,1,0,0.143,0.102,0.018,0.012,0.006,0.0,0.001,,,,,,,,,,36.0,463.0,0.003,0.0,36.0,0.0,0.056,18.0,tests performed,,,,,,,,,,,,75.93,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-20,20,3,2.429,1,0,0.143,0.12,0.018,0.015,0.006,0.0,0.001,,,,,,,,,,36.0,499.0,0.003,0.0,37.0,0.0,0.066,15.2,tests performed,,,,,,,,,,,,75.93,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-21,25,5,3.143,2,1,0.286,0.15,0.03,0.019,0.012,0.006,0.002,,,,,,,,,,65.0,564.0,0.003,0.0,42.0,0.0,0.075,13.4,tests performed,,,,,,,,,,,,81.48,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-22,27,2,3.143,2,0,0.286,0.162,0.012,0.019,0.012,0.0,0.002,,,,,,,,,,56.0,620.0,0.004,0.0,47.0,0.0,0.067,15.0,tests performed,,,,,,,,,,,,81.48,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-23,33,6,3.571,3,1,0.429,0.198,0.036,0.021,0.018,0.006,0.003,,,,,,,,,,92.0,712.0,0.004,0.001,53.0,0.0,0.067,14.8,tests performed,,,,,,,,,,,,81.48,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-24,39,6,4.143,4,1,0.571,0.235,0.036,0.025,0.024,0.006,0.003,,,,,,,,,,82.0,794.0,0.005,0.0,59.0,0.0,0.07,14.2,tests performed,,,,,,,,,,,,81.48,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-25,39,0,3.571,5,1,0.571,0.235,0.0,0.021,0.03,0.006,0.003,,,,,,,,,,126.0,920.0,0.006,0.001,70.0,0.0,0.051,19.6,tests performed,,,,,,,,,,,,82.41,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-26,44,5,3.857,5,0,0.571,0.265,0.03,0.023,0.03,0.0,0.003,,,,,,,,,,106.0,1026.0,0.006,0.001,80.0,0.0,0.048,20.7,tests performed,,,,,,,,,,,,84.26,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-27,48,4,4.0,5,0,0.571,0.289,0.024,0.024,0.03,0.0,0.003,,,,,,,,,,50.0,1076.0,0.006,0.0,82.0,0.0,0.049,20.5,tests performed,,,,,,,,,,,,84.26,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-28,48,0,3.286,5,0,0.429,0.289,0.0,0.02,0.03,0.0,0.003,,,,,,,,,,109.0,1185.0,0.007,0.001,89.0,0.001,0.037,27.1,tests performed,,,,,,,,,,,,84.26,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-29,48,0,3.0,5,0,0.429,0.289,0.0,0.018,0.03,0.0,0.003,,,,,,,,,,153.0,1338.0,0.008,0.001,103.0,0.001,0.029,34.3,tests performed,,,,,,,,,,,,84.26,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-30,49,1,2.286,5,0,0.286,0.295,0.006,0.014,0.03,0.0,0.002,,,,,,,,,,264.0,1602.0,0.01,0.002,127.0,0.001,0.018,55.6,tests performed,,,,,,,,,,,,84.26,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-03-31,51,2,1.714,5,0,0.143,0.307,0.012,0.01,0.03,0.0,0.001,,,,,,,,,,157.0,1759.0,0.011,0.001,138.0,0.001,0.012,80.5,tests performed,,,,,,,,,,,,87.04,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-04-01,54,3,2.143,6,1,0.143,0.325,0.018,0.013,0.036,0.006,0.001,,,,,,,,,,147.0,1906.0,0.011,0.001,141.0,0.001,0.015,65.8,tests performed,,,,,,,,,,,,87.04,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-04-02,56,2,1.714,6,0,0.143,0.337,0.012,0.01,0.036,0.0,0.001,,,,,,,,,,207.0,2113.0,0.013,0.001,155.0,0.001,0.011,90.4,tests performed,,,,,,,,,,,,87.04,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-04-03,61,5,1.857,6,0,0.143,0.367,0.03,0.011,0.036,0.0,0.001,,,,,,,,,,434.0,2547.0,0.015,0.003,210.0,0.001,0.009,113.1,tests performed,,,,,,,,,,,,87.04,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-04-04,70,9,3.143,8,2,0.429,0.421,0.054,0.019,0.048,0.012,0.003,,,,,,,,,,367.0,2914.0,0.018,0.002,247.0,0.001,0.013,78.6,tests performed,,,,,,,,,,,,87.04,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-04-05,88,18,5.714,9,1,0.571,0.529,0.108,0.034,0.054,0.006,0.003,,,,,,,,,,696.0,3610.0,0.022,0.004,325.0,0.002,0.018,56.9,tests performed,,,,,,,,,,,,87.04,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-04-06,123,35,10.571,12,3,1.0,0.74,0.21,0.064,0.072,0.018,0.006,,,,,,,,,,792.0,4402.0,0.026,0.005,400.0,0.002,0.026,37.8,tests performed,,,,,,,,,,,,87.04,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-04-07,164,41,16.143,17,5,1.714,0.986,0.247,0.097,0.102,0.03,0.01,2.73,,,,,,,,,981.0,5383.0,0.032,0.006,518.0,0.003,0.031,32.1,tests performed,,,,,,,,,,,,87.04,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-04-08,218,54,23.429,20,3,2.0,1.311,0.325,0.141,0.12,0.018,0.012,2.79,,,,,,,,,1097.0,6480.0,0.039,0.007,653.0,0.004,0.036,27.9,tests performed,,,,,,,,,,,,87.04,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-04-09,330,112,39.143,21,1,2.143,1.984,0.673,0.235,0.126,0.006,0.013,2.84,,,,,,,,,1184.0,7664.0,0.046,0.007,793.0,0.005,0.049,20.3,tests performed,,,,,,,,,,,,87.04,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
BGD,Asia,Bangladesh,2020-04-10,424,94,51.857,27,6,3.0,2.55,0.565,0.312,0.162,0.036,0.018,2.72,,,,,,,,,649.0,8313.0,0.05,0.004,824.0,0.005,0.063,15.9,tests performed,,,,,,,,,,,,90.74,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,,,,,0
