iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
NOR,Europe,Norway,2020-02-12,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,11.11,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,,,,,0
NOR,Europe,Norway,2020-02-26,1,1,,,,,0.184,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,,,,,0.0
NOR,Europe,Norway,2020-02-27,1,0,,,,,0.184,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,,,,,0.0
NOR,Europe,Norway,2020-02-28,6,5,,,,,1.104,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,,,,,0.0
NOR,Europe,Norway,2020-02-29,15,9,,,,,2.76,1.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,,,,,0.0
NOR,Europe,Norway,2020-03-01,19,4,,,,,3.496,0.736,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,11.11,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,-375.8,-4.69,-4.61,-69.15303540974,0.0
NOR,Europe,Norway,2020-03-02,25,6,3.571,,,,4.6,1.104,0.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,,,,,0.0
NOR,Europe,Norway,2020-03-03,32,7,4.571,,,,5.888,1.288,0.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,,,,,0.0
NOR,Europe,Norway,2020-03-04,56,24,7.857,,,,10.305,4.416,1.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,,,,,0.0
NOR,Europe,Norway,2020-03-05,87,31,12.286,,,,16.009,5.704,2.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,,,,,0.0
