iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
PAK,Asia,Pakistan,2020-02-25,2,2,,,,,0.009,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
PAK,Asia,Pakistan,2020-02-26,2,0,,,,,0.009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
PAK,Asia,Pakistan,2020-02-27,2,0,,,,,0.009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
PAK,Asia,Pakistan,2020-02-28,4,2,,,,,0.018,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
PAK,Asia,Pakistan,2020-02-29,4,0,,,,,0.018,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
PAK,Asia,Pakistan,2020-03-01,4,0,0.571,,,0.0,0.018,0.0,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
PAK,Asia,Pakistan,2020-03-02,5,1,0.714,,,0.0,0.022,0.004,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
PAK,Asia,Pakistan,2020-03-03,5,0,0.429,,,0.0,0.022,0.0,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
PAK,Asia,Pakistan,2020-03-04,5,0,0.429,,,0.0,0.022,0.0,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
PAK,Asia,Pakistan,2020-03-05,6,1,0.571,,,0.0,0.027,0.004,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
PAK,Asia,Pakistan,2020-03-06,6,0,0.286,,,0.0,0.027,0.0,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
PAK,Asia,Pakistan,2020-03-07,6,0,0.286,,,0.0,0.027,0.0,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
PAK,Asia,Pakistan,2020-03-08,6,0,0.286,,,0.0,0.027,0.0,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,0
