iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
CYM,North America,Cayman Islands,2020-03-13,1,1,,,,,14.551,14.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0
CYM,North America,Cayman Islands,2020-03-14,1,0,,,,,14.551,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-15,1,0,,,,,14.551,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-16,1,0,,1,1,,14.551,0.0,,14.551,14.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-17,1,0,,1,0,,14.551,0.0,,14.551,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-18,1,0,0.143,1,0,,14.551,0.0,2.079,14.551,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-19,3,2,0.429,1,0,,43.654,29.103,6.236,14.551,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-20,3,0,0.286,1,0,,43.654,0.0,4.158,14.551,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-21,3,0,0.286,1,0,0.143,43.654,0.0,4.158,14.551,0.0,2.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-22,3,0,0.286,1,0,0.143,43.654,0.0,4.158,14.551,0.0,2.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-23,5,2,0.571,1,0,0.0,72.757,29.103,8.315,14.551,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-24,6,1,0.714,1,0,0.0,87.308,14.551,10.394,14.551,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-25,8,2,1.0,1,0,0.0,116.411,29.103,14.551,14.551,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-26,8,0,0.714,1,0,0.0,116.411,0.0,10.394,14.551,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-27,8,0,0.714,1,0,0.0,116.411,0.0,10.394,14.551,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
CYM,North America,Cayman Islands,2020-03-28,8,0,0.714,1,0,0.0,116.411,0.0,10.394,14.551,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722,,,,,0.0
