iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
TUN,Africa,Tunisia,2020-03-04,1,1,,,,,0.084,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0
TUN,Africa,Tunisia,2020-03-05,1,0,,,,,0.084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-06,1,0,,,,,0.084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-07,1,0,,,,,0.084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-08,2,1,,,,,0.168,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-09,2,0,,,,,0.168,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-10,5,3,0.714,,,,0.419,0.251,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-11,7,2,0.857,,,,0.586,0.168,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-12,7,0,0.857,,,,0.586,0.0,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-13,16,9,2.143,,,,1.341,0.754,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-14,18,2,2.429,,,,1.508,0.168,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-15,18,0,2.286,,,,1.508,0.0,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-16,20,2,2.571,,,,1.676,0.168,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-17,24,4,2.714,,,,2.011,0.335,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-18,29,5,3.143,,,,2.43,0.419,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-19,39,10,4.571,1,1,,3.267,0.838,0.383,0.084,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-20,54,15,5.429,1,0,,4.524,1.257,0.455,0.084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-21,60,6,6.0,1,0,,5.027,0.503,0.503,0.084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.78,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-22,75,15,8.143,3,2,,6.284,1.257,0.682,0.251,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-23,89,14,9.857,3,0,,7.457,1.173,0.826,0.251,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,11935764,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
