iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
TUN,Africa,Tunisia,2020-03-04,1,1,,,,,0.082,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0
TUN,Africa,Tunisia,2020-03-05,1,0,,,,,0.082,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-06,1,0,,,,,0.082,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-07,1,0,,,,,0.082,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-08,2,1,,,,,0.163,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-09,2,0,0.286,,,,0.163,0.0,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-10,5,3,0.714,,,,0.408,0.245,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-11,7,2,0.857,,,,0.571,0.163,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-12,7,0,0.857,,,,0.571,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-13,16,9,2.143,,,,1.305,0.734,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
TUN,Africa,Tunisia,2020-03-14,18,2,2.429,,,,1.468,0.163,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,12262946,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,0.0
