iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
GBR,Europe,United Kingdom,2020-01-31,2.0,2.0,,,,,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-01,2.0,0.0,,,,,0.029,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-02,2.0,0.0,,,,,0.029,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,-1956.3,-2.68,-5.6
GBR,Europe,United Kingdom,2020-02-03,8.0,6.0,,,,,0.117,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-04,8.0,0.0,,,,,0.117,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-05,9.0,1.0,1.286,,,0.0,0.132,0.015,0.019,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-06,9.0,0.0,1.286,,,0.0,0.132,0.0,0.019,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-07,9.0,0.0,1.0,,,0.0,0.132,0.0,0.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-08,13.0,4.0,1.571,,,0.0,0.191,0.059,0.023,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-09,14.0,1.0,1.714,,,0.0,0.205,0.015,0.025,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,-2995.2,-3.46,-7.66
GBR,Europe,United Kingdom,2020-02-10,14.0,0.0,0.857,,,0.0,0.205,0.0,0.013,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-11,15.0,1.0,1.0,,,0.0,0.22,0.015,0.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-12,16.0,1.0,1.0,,,0.0,0.235,0.015,0.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-13,17.0,1.0,1.143,,,0.0,0.249,0.015,0.017,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-14,18.0,1.0,1.286,,,0.0,0.264,0.015,0.019,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
GBR,Europe,United Kingdom,2020-02-15,18.0,0.0,0.714,,,0.0,0.264,0.0,0.01,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,
