iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
KGZ,Asia,Kyrgyzstan,2020-03-18,3,3,,,,,0.452,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621,,,,,0
KGZ,Asia,Kyrgyzstan,2020-03-19,3,0,,,,,0.452,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621,,,,,0.0
KGZ,Asia,Kyrgyzstan,2020-03-20,6,3,,,,,0.905,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621,,,,,0.0
KGZ,Asia,Kyrgyzstan,2020-03-21,14,8,,,,,2.111,1.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.89,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621,,,,,0.0
KGZ,Asia,Kyrgyzstan,2020-03-22,14,0,,,,,2.111,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621,,,,,0.0
KGZ,Asia,Kyrgyzstan,2020-03-23,16,2,2.286,,,,2.413,0.302,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621,,,,,0.0
KGZ,Asia,Kyrgyzstan,2020-03-24,42,26,6.0,,,,6.334,3.921,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621,,,,,0.0
KGZ,Asia,Kyrgyzstan,2020-03-25,44,2,5.857,,,,6.636,0.302,0.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.13,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621,,,,,0.0
KGZ,Asia,Kyrgyzstan,2020-03-26,44,0,5.857,,,,6.636,0.0,0.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.13,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621,,,,,0.0
KGZ,Asia,Kyrgyzstan,2020-03-27,58,14,7.429,,,,8.747,2.111,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.13,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621,,,,,0.0
