iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
DEU,Europe,Germany,2020-01-03,,0,,,0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0
DEU,Europe,Germany,2020-01-04,1,1,,,0,,0.012,0.012,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-05,1,0,,3,3,,0.012,0.0,,0.036,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,-760.7,-3.87,-3.87,-9.128876,0.0
DEU,Europe,Germany,2020-01-06,1,0,,3,0,,0.012,0.0,,0.036,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-07,1,0,,3,0,,0.012,0.0,,0.036,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-08,1,0,0.143,3,0,0.429,0.012,0.0,0.002,0.036,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-09,1,0,0.143,3,0,0.429,0.012,0.0,0.002,0.036,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-10,1,0,0.143,3,0,0.429,0.012,0.0,0.002,0.036,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-11,1,0,0.0,3,0,0.429,0.012,0.0,0.0,0.036,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-12,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,-1317.6001,-3.33,-2.79,-15.812025,0.0
DEU,Europe,Germany,2020-01-13,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-14,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-15,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-16,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-17,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-18,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-19,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,-2325.7002,-3.9,-5.05,-27.909857,0.0
DEU,Europe,Germany,2020-01-20,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-21,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-22,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-23,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-24,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-25,1,0,0.0,3,0,0.0,0.012,0.0,0.0,0.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-26,2,1,0.143,6,3,0.429,0.024,0.012,0.002,0.072,0.036,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,-3679.6,-4.61,-6.71,-44.1575,0.0
DEU,Europe,Germany,2020-01-27,2,0,0.143,6,0,0.429,0.024,0.0,0.002,0.072,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-28,2,0,0.143,6,0,0.429,0.024,0.0,0.002,0.072,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-29,2,0,0.143,6,0,0.429,0.024,0.0,0.002,0.072,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-30,2,0,0.143,6,0,0.429,0.024,0.0,0.002,0.072,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-01-31,2,0,0.143,6,0,0.429,0.024,0.0,0.002,0.072,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-01,2,0,0.143,6,0,0.429,0.024,0.0,0.002,0.072,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-02,11,9,1.286,9,3,0.429,0.132,0.108,0.015,0.108,0.036,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,-4767.9004,-4.74,-5.22,-57.217785,0.0
DEU,Europe,Germany,2020-02-03,11,0,1.286,9,0,0.429,0.132,0.0,0.015,0.108,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-04,11,0,1.286,9,0,0.429,0.132,0.0,0.015,0.108,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-05,11,0,1.286,9,0,0.429,0.132,0.0,0.015,0.108,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-06,11,0,1.286,9,0,0.429,0.132,0.0,0.015,0.108,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-07,11,0,1.286,9,0,0.429,0.132,0.0,0.015,0.108,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-08,11,0,1.286,9,0,0.429,0.132,0.0,0.015,0.108,0.0,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-09,20,9,1.286,9,0,0.0,0.24,0.108,0.015,0.108,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,-6599.8003,-5.43,-8.78,-79.20173,0.0
DEU,Europe,Germany,2020-02-10,20,0,1.286,9,0,0.0,0.24,0.0,0.015,0.108,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-11,20,0,1.286,9,0,0.0,0.24,0.0,0.015,0.108,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-12,20,0,1.286,9,0,0.0,0.24,0.0,0.015,0.108,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-13,20,0,1.286,9,0,0.0,0.24,0.0,0.015,0.108,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-14,20,0,1.286,9,0,0.0,0.24,0.0,0.015,0.108,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
DEU,Europe,Germany,2020-02-15,20,0,1.286,9,0,0.0,0.24,0.0,0.015,0.108,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,83369840,,,,,0.0
