iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
BHS,North America,Bahamas,2020-03-16,1,1,,,,,2.452,2.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,407906,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,,0
BHS,North America,Bahamas,2020-03-17,1,0,,,,,2.452,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,407906,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,,0.0
BHS,North America,Bahamas,2020-03-18,1,0,,,,,2.452,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,407906,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,,0.0
BHS,North America,Bahamas,2020-03-19,3,2,,,,,7.355,4.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,407906,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,,0.0
BHS,North America,Bahamas,2020-03-20,3,0,,,,,7.355,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,407906,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,,0.0
BHS,North America,Bahamas,2020-03-21,4,1,0.571,,,,9.806,2.452,1.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,407906,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,,0.0
BHS,North America,Bahamas,2020-03-22,4,0,0.571,,,,9.806,0.0,1.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,407906,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,,0.0
BHS,North America,Bahamas,2020-03-23,4,0,0.429,,,,9.806,0.0,1.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,407906,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,,0.0
BHS,North America,Bahamas,2020-03-24,5,1,0.571,,,,12.258,2.452,1.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,407906,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,,0.0
BHS,North America,Bahamas,2020-03-25,5,0,0.571,,,,12.258,0.0,1.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,407906,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,,0.0
