iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
KOR,Asia,South Korea,2020-01-21,,,,,,,,,,,,,,,,,,,,,,,11,0.0,,,,,,people tested,,,,,,,,,,,,,,0.0,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0
KOR,Asia,South Korea,2020-01-22,1,,,,,,0.019,,,,,,,,,,,,,,,5,16,0.0,0.0,,,,,people tested,,,,,,,,,,,,,,0.0,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-01-23,1,0,,,,,0.019,0.0,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,0.0,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-01-24,2,1,,,,,0.039,0.019,,,,,,,,,,,,,,,25,0.0,,,,,,people tested,,,,,,,,,,,,,,0.0,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-01-25,2,0,,,,,0.039,0.0,,,,,,,,,,,,,,,,,,,,,,people tested,,,,,,,,,,,,,,0.0,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-01-26,3,1,,,,,0.058,0.019,,,,,,,,,,,,,,,48,0.001,,,,,,people tested,,,,,,,,,,,,,,0.0,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,43.4,0.17,2.47,0.845918416353404,0.0
KOR,Asia,South Korea,2020-01-27,4,1,,,,,0.078,0.019,,,,,,,,,,,,,,9,57,0.001,0.0,,,,,people tested,,,,,,,,,,,,,,0.0,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-01-28,4,0,0.429,,,,0.078,0.0,0.008,,,,,,,,,,,,,130,187,0.004,0.003,25,0.0,0.0172,58.3,people tested,,,,,,,,,,,,,,0.0,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-01-29,4,0,0.429,,,,0.078,0.0,0.008,,,,,,,,,,,,,,,,,28,0.001,0.0153,65.3,people tested,,,,,,,,,,,,,,0.0,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-01-30,4,0,0.429,,,,0.078,0.0,0.008,,,,,,,,,,,,,,244,0.005,,32,0.001,0.0134,74.6,people tested,,,,,,,,,,,,,,0.0,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-01-31,11,7,1.286,,,,0.214,0.136,0.025,,,,,,,,,,,,,,,,,40,0.001,0.0322,31.1,people tested,,,,,,,,,,,,,,2.78,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-02-01,12,1,1.429,,,,0.234,0.019,0.028,,,,,,,,,,,,,,371,0.007,,48,0.001,0.0298,33.6,people tested,,,,,,,,,,,,,,13.89,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-02-02,15,3,1.714,,,,0.292,0.058,0.033,,,,,,,,,,,,,58,429,0.008,0.001,54,0.001,0.0317,31.5,people tested,,,,,,,,,,,,,,13.89,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,139.2,0.44,1.51,2.71317611881092,0.0
KOR,Asia,South Korea,2020-02-03,15,0,1.571,,,,0.292,0.0,0.031,,,,,,,,,,,,,,,,,66,0.001,0.0238,42.0,people tested,,,,,,,,,,,,,,23.15,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-02-04,16,1,1.714,,,,0.312,0.019,0.033,,,,,,,,,,,,,,607,0.012,,60,0.001,0.0286,35.0,people tested,,,,,,,,,,,,,,31.48,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-02-05,19,3,2.143,,,,0.37,0.058,0.042,,,,,,,,,,,,,107,714,0.014,0.002,71,0.001,0.0302,33.1,people tested,,,,,,,,,,,,,,31.48,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-02-06,23,4,2.714,,,,0.448,0.078,0.053,,,,,,,,,,,,,171,885,0.017,0.003,92,0.002,0.0295,33.9,people tested,,,,,,,,,,,,,,31.48,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-02-07,24,1,1.857,,,,0.468,0.019,0.036,,,,,,,,,,,,,245,1130,0.022,0.005,118,0.002,0.0157,63.5,people tested,,,,,,,,,,,,,,31.48,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
KOR,Asia,South Korea,2020-02-08,24,0,1.714,,,,0.468,0.0,0.033,,,,,,,,,,,,,571,1701,0.033,0.011,190,0.004,0.009,110.9,people tested,,,,,,,,,,,,,,31.48,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,,0.0
