iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
PER,South America,Peru,2020-03-06,1,1,,1,1,,0.03,0.03,,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0
PER,South America,Peru,2020-03-07,1,0,,1,0,,0.03,0.0,,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-08,6,5,,2,1,,0.18,0.15,,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,2706.0,11.77,12.57,81.1165303708114,0.0
PER,South America,Peru,2020-03-09,7,1,,2,0,,0.21,0.03,,0.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-10,11,4,,2,0,,0.33,0.12,,0.06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-11,11,0,1.571,2,0,0.286,0.33,0.0,0.047,0.06,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-12,15,4,2.143,3,1,0.429,0.45,0.12,0.064,0.09,0.03,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-13,28,13,3.857,3,0,0.286,0.839,0.39,0.116,0.09,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-14,38,10,5.286,3,0,0.286,1.139,0.3,0.158,0.09,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-15,43,5,5.286,5,2,0.429,1.289,0.15,0.158,0.15,0.06,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,3008.4,11.87,12.83,90.1814375342014,0.0
PER,South America,Peru,2020-03-16,86,43,11.286,5,0,0.429,2.578,1.289,0.338,0.15,0.0,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-17,117,31,15.143,9,4,1.0,3.507,0.929,0.454,0.27,0.12,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-18,145,28,19.143,15,6,1.857,4.347,0.839,0.574,0.45,0.18,0.056,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-19,234,89,31.286,20,5,2.429,7.015,2.668,0.938,0.6,0.15,0.073,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-20,234,0,29.429,26,6,3.286,7.015,0.0,0.882,0.779,0.18,0.098,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-21,318,84,40.0,30,4,3.857,9.533,2.518,1.199,0.899,0.12,0.116,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-22,363,45,45.714,34,4,4.143,10.881,1.349,1.37,1.019,0.12,0.124,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,3119.5,11.28,4.83,93.5118316673119,0.0
PER,South America,Peru,2020-03-23,395,32,44.143,39,5,4.857,11.841,0.959,1.323,1.169,0.15,0.146,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-24,416,21,42.714,45,6,5.143,12.47,0.63,1.28,1.349,0.18,0.154,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-25,480,64,47.857,57,12,6.0,14.389,1.918,1.435,1.709,0.36,0.18,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-26,580,100,49.429,63,6,6.143,17.386,2.998,1.482,1.889,0.18,0.184,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-27,635,55,57.286,71,8,6.429,19.035,1.649,1.717,2.128,0.24,0.193,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-28,671,36,50.429,86,15,8.0,20.114,1.079,1.512,2.578,0.45,0.24,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-29,852,181,69.857,95,9,8.714,25.54,5.426,2.094,2.848,0.27,0.261,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,3218.6,10.76,4.38,96.4825072621927,0.0
PER,South America,Peru,2020-03-30,950,98,79.286,113,18,10.571,28.478,2.938,2.377,3.387,0.54,0.317,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-03-31,1065,115,92.714,138,25,13.286,31.925,3.447,2.779,4.137,0.749,0.398,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-04-01,1323,258,120.429,161,23,14.857,39.659,7.734,3.61,4.826,0.689,0.445,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-04-02,1414,91,119.143,183,22,17.143,42.387,2.728,3.571,5.486,0.659,0.514,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-04-03,1595,181,137.143,209,26,19.714,47.813,5.426,4.111,6.265,0.779,0.591,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-04-04,1746,151,153.571,258,49,24.571,52.339,4.526,4.604,7.734,1.469,0.737,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-04-05,2281,535,204.143,317,59,31.714,68.376,16.037,6.119,9.503,1.769,0.951,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,3525.7,10.95,13.51,105.688304186389,0.0
PER,South America,Peru,2020-04-06,2561,280,230.143,360,43,35.286,76.77,8.393,6.899,10.792,1.289,1.058,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-04-07,2954,393,269.857,423,63,40.714,88.551,11.781,8.089,12.68,1.889,1.22,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
PER,South America,Peru,2020-04-08,4342,1388,431.286,471,48,44.286,130.158,41.607,12.928,14.119,1.439,1.328,1.88,,,,,,,,,,39599,1.187,,,,0.0,,tests performed,,,,,,,,,,,,,,94.44,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,0.0
