iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
BEN,Africa,Benin,2020-03-16,1,1,,,,,0.077,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-17,1,0,,,,,0.077,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-18,2,1,,,,,0.154,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-19,2,0,,,,,0.154,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-20,2,0,,,,,0.154,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-21,2,0,0.286,,,,0.154,0.0,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-22,2,0,0.286,,,,0.154,0.0,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-23,5,3,0.571,,,,0.385,0.231,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-24,6,1,0.714,,,,0.462,0.077,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-25,6,0,0.571,,,,0.462,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-26,6,0,0.571,,,,0.462,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-27,6,0,0.571,,,,0.462,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-28,6,0,0.571,,,,0.462,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-29,6,0,0.571,,,,0.462,0.0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-30,6,0,0.143,,,,0.462,0.0,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-03-31,9,3,0.429,,,,0.692,0.231,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-04-01,13,4,1.0,,,,1.0,0.308,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-04-02,13,0,1.0,,,,1.0,0.0,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-04-03,16,3,1.429,,,,1.231,0.231,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-04-04,16,0,1.429,,,,1.231,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-04-05,22,6,2.286,,,,1.693,0.462,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-04-06,26,4,2.857,1,1,,2.0,0.308,0.22,0.077,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-04-07,26,0,2.429,1,0,,2.0,0.0,0.187,0.077,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
BEN,Africa,Benin,2020-04-08,26,0,1.857,1,0,,2.0,0.0,0.143,0.077,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.83,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,12996895,,,,,0
