iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
SEN,Africa,Senegal,2020-02-28,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,,,,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-02,1.0,1.0,,,,,0.058,0.058,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-03,2.0,1.0,,,,,0.116,0.058,,,,,,,,,,,,,,2.0,3.0,0.0,0.0,,,,,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-04,4.0,2.0,,,,,0.233,0.116,,,,,,,,,,,,,,11.0,14.0,0.001,0.001,,,,,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-05,4.0,0.0,,,,,0.233,0.0,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-06,4.0,0.0,,,,,0.233,0.0,,,,,,,,,,,,,,2.0,16.0,0.001,0.0,2.0,0.0,,,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-07,4.0,0.0,0.571,,,0.0,0.233,0.0,0.033,,,0.0,,,,,,,,,,2.0,18.0,0.001,0.0,2.0,0.0,0.286,3.5,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-08,4.0,0.0,0.571,,,0.0,0.233,0.0,0.033,,,0.0,,,,,,,,,,2.0,20.0,0.001,0.0,3.0,0.0,0.19,5.3,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-09,4.0,0.0,0.429,,,0.0,0.233,0.0,0.025,,,0.0,,,,,,,,,,6.0,26.0,0.002,0.0,3.0,0.0,0.143,7.0,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-10,4.0,0.0,0.286,,,0.0,0.233,0.0,0.017,,,0.0,,,,,,,,,,1.0,27.0,0.002,0.0,3.0,0.0,0.095,10.5,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-11,4.0,0.0,0.0,,,0.0,0.233,0.0,0.0,,,0.0,,,,,,,,,,8.0,35.0,0.002,0.0,3.0,0.0,0.0,,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-12,4.0,0.0,0.0,,,0.0,0.233,0.0,0.0,,,0.0,,,,,,,,,,6.0,41.0,0.002,0.0,4.0,0.0,0.0,,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-13,10.0,6.0,0.857,,,0.0,0.582,0.349,0.05,,,0.0,,,,,,,,,,12.0,53.0,0.003,0.001,5.0,0.0,0.171,5.8,tests performed,,,,,,,,,,,,0.0,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
SEN,Africa,Senegal,2020-03-14,10.0,0.0,0.857,,,0.0,0.582,0.0,0.05,,,0.0,,,,,,,,,,3.0,56.0,0.003,0.0,5.0,0.0,0.171,5.8,tests performed,,,,,,,,,,,,27.78,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,
