iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
SXM,North America,Sint Maarten (Dutch part),2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24634.0,14678.0,9956.0,,,,56.73,33.8,22.93,,,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.2527149326638497
SXM,North America,Sint Maarten (Dutch part),2021-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,,,,,4882.0,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.0
SXM,North America,Sint Maarten (Dutch part),2021-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,,,,,4882.0,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.0
SXM,North America,Sint Maarten (Dutch part),2021-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,,,,,4882.0,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.0
SXM,North America,Sint Maarten (Dutch part),2021-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,,,,,4882.0,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.0
SXM,North America,Sint Maarten (Dutch part),2021-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,,,,,4882.0,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.0
SXM,North America,Sint Maarten (Dutch part),2021-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,,,,,4882.0,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.0
SXM,North America,Sint Maarten (Dutch part),2021-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26121.0,15304.0,10817.0,,,212.0,60.16,35.25,24.91,,4882.0,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.0
SXM,North America,Sint Maarten (Dutch part),2021-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,,,,,4744.0,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.0
SXM,North America,Sint Maarten (Dutch part),2021-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,,,,,4583.0,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.0
SXM,North America,Sint Maarten (Dutch part),2021-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,,,,,4445.0,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.0
SXM,North America,Sint Maarten (Dutch part),2021-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.0,,,,,4284.0,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.0
SXM,North America,Sint Maarten (Dutch part),2021-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,,,4122.0,,43421,1209.088,,,,36327.232,,,,,,,,78.95,,,,,,0.0
