iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
PSE,Asia,Palestine,2020-03-05,4,4,,,,,0.779,0.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.56,5133392,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,,,,,0
PSE,Asia,Palestine,2020-03-06,7,3,,,,,1.364,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,5133392,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,,,,,0.0
PSE,Asia,Palestine,2020-03-07,16,9,,,,,3.117,1.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,5133392,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,,,,,0.0
PSE,Asia,Palestine,2020-03-08,16,0,,,,,3.117,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,5133392,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,,,,,0.0
PSE,Asia,Palestine,2020-03-09,19,3,,,,,3.701,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,5133392,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,,,,,0.0
PSE,Asia,Palestine,2020-03-10,26,7,3.714,,,,5.065,1.364,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,5133392,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,,,,,0.0
PSE,Asia,Palestine,2020-03-11,30,4,4.286,,,,5.844,0.779,0.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,5133392,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,,,,,0.0
PSE,Asia,Palestine,2020-03-12,30,0,3.714,,,,5.844,0.0,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,5133392,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,,,,,0.0
PSE,Asia,Palestine,2020-03-13,31,1,3.429,,,,6.039,0.195,0.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,5133392,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,,,,,0.0
PSE,Asia,Palestine,2020-03-14,35,4,2.714,,,,6.818,0.779,0.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,5133392,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,,,,,0.0
