iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
BRA,South America,Brazil,2020-02-26,1,1,,,,,0.005,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,0
BRA,South America,Brazil,2020-02-27,1,0,,,,,0.005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,0.0
BRA,South America,Brazil,2020-02-28,1,0,,,,,0.005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,0.0
BRA,South America,Brazil,2020-02-29,2,1,,,,,0.009,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,7049.6,3.31,5.25,32.9430657643381,0.0
BRA,South America,Brazil,2020-03-01,2,0,,,,,0.009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,0.0
BRA,South America,Brazil,2020-03-02,2,0,0.286,,,0.0,0.009,0.0,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,0.0
BRA,South America,Brazil,2020-03-03,2,0,0.286,,,0.0,0.009,0.0,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,0.0
BRA,South America,Brazil,2020-03-04,4,2,0.429,,,0.0,0.019,0.009,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,0.0
BRA,South America,Brazil,2020-03-05,4,0,0.429,,,0.0,0.019,0.0,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,0.0
BRA,South America,Brazil,2020-03-06,13,9,1.714,,,0.0,0.061,0.042,0.008,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,0.0
BRA,South America,Brazil,2020-03-07,13,0,1.571,,,0.0,0.061,0.0,0.007,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,0.0
BRA,South America,Brazil,2020-03-08,20,7,2.571,,,0.0,0.093,0.033,0.012,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,0.0
BRA,South America,Brazil,2020-03-09,25,5,3.286,,,0.0,0.117,0.023,0.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,0.0
