iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
AND,Europe,Andorra,2020-03-02,1.0,1.0,,,,,12.928,12.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-03,1.0,0.0,,,,,12.928,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-04,1.0,0.0,,,,,12.928,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-05,1.0,0.0,,,,,12.928,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-06,1.0,0.0,,,,,12.928,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-07,1.0,0.0,0.143,,,0.0,12.928,0.0,1.847,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-08,1.0,0.0,0.143,,,0.0,12.928,0.0,1.847,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-09,1.0,0.0,0.0,,,0.0,12.928,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-10,1.0,0.0,0.0,,,0.0,12.928,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-11,1.0,0.0,0.0,,,0.0,12.928,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-12,1.0,0.0,0.0,,,0.0,12.928,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-13,1.0,0.0,0.0,,,0.0,12.928,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.26,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-14,1.0,0.0,0.0,,,0.0,12.928,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-15,1.0,0.0,0.0,,,0.0,12.928,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-16,2.0,1.0,0.143,,,0.0,25.855,12.928,1.847,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-17,39.0,37.0,5.429,,,0.0,504.176,478.32,70.178,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-18,39.0,0.0,5.429,,,0.0,504.176,0.0,70.178,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-19,53.0,14.0,7.429,,,0.0,685.162,180.986,96.033,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
AND,Europe,Andorra,2020-03-20,75.0,22.0,10.571,,,0.0,969.568,284.407,136.663,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,
