iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
SVK,Europe,Slovakia,2020-03-06,1,1,,,,,0.183,0.183,,,,,,,,,,,,,,378,378,0.069,0.069,,,,,tests performed,,,,,,,,,,,,,,16.67,5460726,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,,0
SVK,Europe,Slovakia,2020-03-07,1,0,,,,,0.183,0.0,,,,,,,,,,,,,,66,444,0.081,0.012,,,,,tests performed,,,,,,,,,,,,,,16.67,5460726,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,,0.0
SVK,Europe,Slovakia,2020-03-08,3,2,,,,,0.549,0.366,,,,,,,,,,,,,,76,520,0.095,0.014,,,,,tests performed,,,,,,,,,,,,,,16.67,5460726,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,-595.8,-5.02,-1.76,-109.106371570374,0.0
SVK,Europe,Slovakia,2020-03-09,5,2,,,,,0.916,0.366,,,,,,,,,,,,,,69,589,0.108,0.013,,,,,tests performed,,,,,,,,,,,,,,22.22,5460726,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,,0.0
SVK,Europe,Slovakia,2020-03-10,7,2,,,,,1.282,0.366,,,,,,,,,,,,,,111,700,0.128,0.02,,,,,tests performed,,,,,,,,,,,,,,33.33,5460726,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,,0.0
SVK,Europe,Slovakia,2020-03-11,7,0,1.0,,,0.0,1.282,0.0,0.183,,,0.0,,,,,,,,,,97,797,0.146,0.018,,,,,tests performed,,,,,,,,,,,,,,33.33,5460726,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,,0.0
SVK,Europe,Slovakia,2020-03-12,10,3,1.429,,,0.0,1.831,0.549,0.262,,,0.0,,,,,,,,,,95,892,0.163,0.017,,,0.024,41.7,tests performed,,,,,,,,,,,,,,45.37,5460726,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,,0.0
SVK,Europe,Slovakia,2020-03-13,21,11,2.857,,,0.0,3.846,2.014,0.523,,,0.0,,,,,,,,,,58,950,0.174,0.011,82,0.015,0.054,18.5,tests performed,,,,,,,,,,,,,,58.33,5460726,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,,0.0
SVK,Europe,Slovakia,2020-03-14,32,11,4.429,,,0.0,5.86,2.014,0.811,,,0.0,,,,,,,,,,197,1147,0.21,0.036,100,0.018,0.058,17.2,tests performed,,,,,,,,,,,,,,63.89,5460726,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,,0.0
SVK,Europe,Slovakia,2020-03-15,44,12,5.857,,,0.0,8.058,2.198,1.073,,,0.0,,,,,,,,,,289,1436,0.263,0.053,131,0.024,0.061,16.4,tests performed,,,,,,,,,,,,,,63.89,5460726,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,-580.5,-4.48,1.38,-106.304546318566,0.0
