iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
IMN,Europe,Isle of Man,2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3558.0,,,,,,4.17,,,,,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0
IMN,Europe,Isle of Man,2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3648.0,,,,90.0,90.0,4.27,,,,1054.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.0
IMN,Europe,Isle of Man,2021-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,,,,,1616.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.0
IMN,Europe,Isle of Man,2021-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,,,,,1815.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.0
IMN,Europe,Isle of Man,2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209.0,3897.0,312.0,,,163.0,4.93,4.56,0.37,,1908.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.0
IMN,Europe,Isle of Man,2021-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4886.0,4247.0,639.0,,677.0,266.0,5.72,4.97,0.75,,3114.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.0
IMN,Europe,Isle of Man,2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.0,,,,,3875.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.01
IMN,Europe,Isle of Man,2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,,,,,4426.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.01
IMN,Europe,Isle of Man,2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6859.0,5829.0,1030.0,,,459.0,8.03,6.82,1.21,,5374.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.01
IMN,Europe,Isle of Man,2021-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.0,,,,,5667.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.01
IMN,Europe,Isle of Man,2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.0,,,,,5948.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.01
IMN,Europe,Isle of Man,2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,,,,,6240.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.01
IMN,Europe,Isle of Man,2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8302.0,6883.0,1419.0,,,488.0,9.72,8.06,1.66,,5714.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.01
IMN,Europe,Isle of Man,2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9563.0,7387.0,2176.0,,1261.0,574.0,11.2,8.65,2.55,,6721.0,,85410,147.872,,,,,,,,,,,,81.4,,,,,,0.01
