iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
ZWE,Africa,Zimbabwe,2020-03-20,1,1,,,,,0.061,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,,,,,0
ZWE,Africa,Zimbabwe,2020-03-21,3,2,,,,,0.184,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-22,3,0,,,,,0.184,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-23,3,0,,1,1,,0.184,0.0,,0.061,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-24,3,0,,1,0,,0.184,0.0,,0.061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-25,3,0,0.429,1,0,,0.184,0.0,0.026,0.061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-26,3,0,0.429,1,0,,0.184,0.0,0.026,0.061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-27,5,2,0.571,1,0,,0.306,0.123,0.035,0.061,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-28,7,2,0.571,1,0,0.143,0.429,0.123,0.035,0.061,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,,,,,0.0
ZWE,Africa,Zimbabwe,2020-03-29,7,0,0.571,1,0,0.143,0.429,0.0,0.035,0.061,0.0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.04,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,,,,,0.0
