iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
HTI,North America,Haiti,2020-03-20,2,2,,,,,0.173,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-03-21,2,0,,,,,0.173,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-03-22,2,0,,,,,0.173,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-03-23,2,0,,,,,0.173,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-03-24,5,3,,,,,0.432,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-03-25,7,2,1.0,,,,0.604,0.173,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-03-26,7,0,1.0,,,,0.604,0.0,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-03-27,8,1,0.857,,,,0.691,0.086,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-03-28,8,0,0.857,,,,0.691,0.0,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-03-29,8,0,0.857,,,,0.691,0.0,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-03-30,15,7,1.857,,,,1.295,0.604,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-03-31,15,0,1.429,,,,1.295,0.0,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-04-01,15,0,1.143,,,,1.295,0.0,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-04-02,16,1,1.286,,,,1.381,0.086,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-04-03,16,0,1.143,,,,1.381,0.0,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-04-04,18,2,1.429,,,,1.554,0.173,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-04-05,18,0,1.429,,,,1.554,0.0,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-04-06,21,3,0.857,,,,1.813,0.259,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-04-07,24,3,1.286,1,1,,2.072,0.259,0.111,0.086,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
HTI,North America,Haiti,2020-04-08,25,1,1.429,1,0,,2.158,0.086,0.123,0.086,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,11585003,,,,,0
