iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
PYF,Oceania,French Polynesia,2020-03-13,3,3,,,,,9.795,9.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0
PYF,Oceania,French Polynesia,2020-03-14,3,0,,,,,9.795,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-15,3,0,,,,,9.795,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-16,3,0,,,,,9.795,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-17,3,0,,,,,9.795,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-18,3,0,0.429,,,,9.795,0.0,1.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-19,6,3,0.857,,,,19.589,9.795,2.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-20,11,5,1.143,,,,35.913,16.324,3.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-21,15,4,1.714,,,,48.973,13.059,5.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-22,18,3,2.143,,,,58.767,9.795,6.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-23,18,0,2.143,,,,58.767,0.0,6.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-24,25,7,3.143,,,,81.621,22.854,10.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-25,25,0,3.143,,,,81.621,0.0,10.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-26,30,5,3.429,,,,97.946,16.324,11.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-27,30,0,2.714,,,,97.946,0.0,8.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-28,30,0,2.143,,,,97.946,0.0,6.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-29,30,0,1.714,,,,97.946,0.0,5.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-30,36,6,2.571,,,,117.535,19.589,8.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-31,36,0,1.571,,,,117.535,0.0,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,-10.2,-2.39,5.81,-33.3015553785277,0.0
PYF,Oceania,French Polynesia,2020-04-01,37,1,1.714,,,,120.8,3.265,5.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-02,37,0,1.0,,,,120.8,0.0,3.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-03,39,2,1.286,,,,127.329,6.53,4.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-04,40,1,1.429,,,,130.594,3.265,4.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-05,41,1,1.571,,,,133.859,3.265,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-06,42,1,0.857,,,,137.124,3.265,2.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-07,47,5,1.571,,,,153.448,16.324,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-08,51,4,2.0,,,,166.508,13.059,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-09,51,0,2.0,,,,166.508,0.0,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-10,51,0,1.714,,,,166.508,0.0,5.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-11,51,0,1.571,,,,166.508,0.0,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-12,53,2,1.714,,,,173.037,6.53,5.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-13,55,2,1.857,,,,179.567,6.53,6.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
PYF,Oceania,French Polynesia,2020-04-14,55,0,1.143,,,,179.567,0.0,3.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292,,,,,0.0
