iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
PYF,Oceania,French Polynesia,2020-03-13,3,3,,,,,10.618,10.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0
PYF,Oceania,French Polynesia,2020-03-14,3,0,,,,,10.618,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-15,3,0,,,,,10.618,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-16,3,0,,,,,10.618,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-17,3,0,,,,,10.618,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-18,3,0,0.429,,,,10.618,0.0,1.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-19,6,3,0.857,,,,21.236,10.618,3.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-20,11,5,1.143,,,,38.933,17.697,4.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-21,15,4,1.714,,,,53.091,14.158,6.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0.0
PYF,Oceania,French Polynesia,2020-03-22,18,3,2.143,,,,63.709,10.618,7.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282534,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,,,,,0.0
