iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
LVA,Europe,Latvia,2020-01-06,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0
LVA,Europe,Latvia,2020-01-18,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0.0
LVA,Europe,Latvia,2020-02-12,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.78,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0.0
LVA,Europe,Latvia,2020-02-29,,,,,,,,,,,,,,,,,,,,,,116,116,0.062,0.062,,,,,tests performed,,,,,,,,,,,,,,8.33,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0.0
LVA,Europe,Latvia,2020-03-01,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,126,10,0.067,0.005,,,,,tests performed,,,,,,,,,,,,,,8.33,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,-476.0,-8.71,-15.94,-254.9634856,0.0
LVA,Europe,Latvia,2020-03-02,1,1,,,,,0.536,0.536,,,,,,,,,,,,,,163,37,0.087,0.02,,,,,tests performed,,,,,,,,,,,,,,8.33,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0.0
LVA,Europe,Latvia,2020-03-03,1,0,,,,,0.536,0.0,,,,,,,,,,,,,,204,41,0.109,0.022,,,,,tests performed,,,,,,,,,,,,,,8.33,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0.0
LVA,Europe,Latvia,2020-03-04,1,0,,,,,0.536,0.0,,,,,,,,,,,,,,240,36,0.129,0.019,,,,,tests performed,,,,,,,,,,,,,,8.33,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0.0
LVA,Europe,Latvia,2020-03-05,1,0,,,,,0.536,0.0,,,,,,,,,,,,,,275,35,0.147,0.019,,,,,tests performed,,,,,,,,,,,,,,8.33,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0.0
LVA,Europe,Latvia,2020-03-06,1,0,,,,,0.536,0.0,,,,,,,,,,,,,,307,32,0.164,0.017,,,,,tests performed,,,,,,,,,,,,,,8.33,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0.0
LVA,Europe,Latvia,2020-03-07,1,0,0.143,,,,0.536,0.0,0.077,,,,,,,,,,,,,321,14,0.172,0.007,29,0.016,0.0049,202.8,tests performed,,,,,,,,,,,,,,8.33,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0.0
LVA,Europe,Latvia,2020-03-08,2,1,0.286,,,,1.071,0.536,0.153,,,,,,,,,0.0,0.0,3.0,1.585,343,22,0.184,0.012,31,0.017,0.0092,108.4,tests performed,,,,,,,,,,,,,,8.33,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,-582.4,-9.58,-17.35,-311.9553235,0.0
LVA,Europe,Latvia,2020-03-09,6,4,0.714,,,,3.214,2.143,0.383,,,,,,,,,,,,,391,48,0.209,0.026,33,0.018,0.0216,46.2,tests performed,,,,,,,,,,,,,,8.33,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0.0
LVA,Europe,Latvia,2020-03-10,8,2,1.0,,,,4.285,1.071,0.536,,,,,,,,,,,,,450,59,0.241,0.032,35,0.019,0.0286,35.0,tests performed,,,,,,,,,,,,,,8.33,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0.0
LVA,Europe,Latvia,2020-03-11,10,2,1.286,,,,5.356,1.071,0.689,,,,,,,,,,,,,497,47,0.266,0.025,37,0.02,0.0348,28.8,tests performed,,,,,,,,,,,,,,11.11,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,,0.0
