iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
OWID_AFR,,Africa,2020-02-13,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2020-02-14,1.0,1.0,,,0.0,,0.001,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2020-02-15,1.0,0.0,,,0.0,,0.001,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2020-02-16,1.0,0.0,,,0.0,,0.001,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2020-02-17,1.0,0.0,,,0.0,,0.001,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2020-02-18,1.0,0.0,,,0.0,,0.001,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2020-02-19,1.0,0.0,0.143,,0.0,0.0,0.001,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2020-02-20,1.0,0.0,0.143,,0.0,0.0,0.001,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2020-02-21,1.0,0.0,0.0,,0.0,0.0,0.001,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2020-02-22,1.0,0.0,0.0,,0.0,0.0,0.001,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373486472.0,,,,,,,,,,,,,,,,,
