iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
FRO,Europe,Faeroe Islands,2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3994,3993,1.0,,,,8.14,8.14,0.0,,,,,27.78,49053,35.308,,,,,,,,,,,,80.67,,,,,,0
FRO,Europe,Faeroe Islands,2021-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,1692,7,0.014,27.78,49053,35.308,,,,,,,,,,,,80.67,,,,,,0.0
FRO,Europe,Faeroe Islands,2021-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,1692,7,0.014,27.78,49053,35.308,,,,,,,,,,,,80.67,,-64.2,-13.68,-9.3,-1308.78845330561,0.0
FRO,Europe,Faeroe Islands,2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,1692,7,0.014,27.78,49053,35.308,,,,,,,,,,,,80.67,,,,,,0.0
FRO,Europe,Faeroe Islands,2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,1692,7,0.014,27.78,49053,35.308,,,,,,,,,,,,80.67,,,,,,0.0
FRO,Europe,Faeroe Islands,2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,1692,7,0.014,27.78,49053,35.308,,,,,,,,,,,,80.67,,,,,,0.0
FRO,Europe,Faeroe Islands,2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,1692,7,0.014,27.78,49053,35.308,,,,,,,,,,,,80.67,,,,,,0.0
FRO,Europe,Faeroe Islands,2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,1692,7,0.014,27.78,49053,35.308,,,,,,,,,,,,80.67,,,,,,0.0
FRO,Europe,Faeroe Islands,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4657,4051,606.0,,,83,9.49,8.26,1.24,,1692,7,0.014,27.78,49053,35.308,,,,,,,,,,,,80.67,,,,,,0.0
FRO,Europe,Faeroe Islands,2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,1631,10,0.02,27.78,49053,35.308,,,,,,,,,,,,80.67,,,,,,0.0
FRO,Europe,Faeroe Islands,2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4783,4098,685.0,,,77,9.75,8.35,1.4,,1570,12,0.024,27.78,49053,35.308,,,,,,,,,,,,80.67,,,,,,0.0
