iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
BWA,Africa,Botswana,2020-03-30,3,3,,,,,1.141,1.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,,0
BWA,Africa,Botswana,2020-03-31,4,1,,1,1,,1.521,0.38,,0.38,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,,0.0
BWA,Africa,Botswana,2020-04-01,4,0,,1,0,,1.521,0.0,,0.38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,,0.0
BWA,Africa,Botswana,2020-04-02,4,0,,1,0,,1.521,0.0,,0.38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,,0.0
BWA,Africa,Botswana,2020-04-03,4,0,,1,0,,1.521,0.0,,0.38,0.0,,,,,,,,,,,820,,0.317,,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,,0.0
BWA,Africa,Botswana,2020-04-04,4,0,0.571,1,0,,1.521,0.0,0.217,0.38,0.0,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,,0.0
BWA,Africa,Botswana,2020-04-05,6,2,0.857,1,0,0.143,2.281,0.76,0.326,0.38,0.0,0.054,,,,,,,,,,966,,0.373,,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,,0.0
BWA,Africa,Botswana,2020-04-06,6,0,0.429,1,0,0.143,2.281,0.0,0.163,0.38,0.0,0.054,,,,,,,,,,1154,188,0.446,0.073,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,,0.0
BWA,Africa,Botswana,2020-04-07,6,0,0.286,1,0,0.0,2.281,0.0,0.109,0.38,0.0,0.0,,,,,,,,,,2078,924,0.803,0.357,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,,0.0
BWA,Africa,Botswana,2020-04-08,6,0,0.286,1,0,0.0,2.281,0.0,0.109,0.38,0.0,0.0,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,,,,,86.11,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,2630300,,,,,0.0
