iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
MAC,Asia,Macao,2020-01-22,1,,,,,,1.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,,,,,0
MAC,Asia,Macao,2020-01-23,2,1,,,,,2.877,1.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,,,,,0.0
MAC,Asia,Macao,2020-01-24,2,0,,,,,2.877,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,,,,,0.0
MAC,Asia,Macao,2020-01-25,2,0,,,,,2.877,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,,,,,0.0
MAC,Asia,Macao,2020-01-26,5,3,,,,,7.192,4.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,,,,,0.0
MAC,Asia,Macao,2020-01-27,6,1,,,,,8.631,1.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,,,,,0.0
MAC,Asia,Macao,2020-01-28,7,1,0.857,,,,10.069,1.438,1.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,,,,,0.0
MAC,Asia,Macao,2020-01-29,7,0,0.857,,,,10.069,0.0,1.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,,,,,0.0
MAC,Asia,Macao,2020-01-30,7,0,0.714,,,,10.069,0.0,1.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,,,,,0.0
MAC,Asia,Macao,2020-01-31,7,0,0.714,,,,10.069,0.0,1.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,-5.0,-2.43,-2.43,-7.19238182916655,0.0
MAC,Asia,Macao,2020-02-01,7,0,0.714,,,,10.069,0.0,1.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,,,,,0.0
MAC,Asia,Macao,2020-02-02,8,1,0.429,,,,11.508,1.438,0.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180,,,,,0.0
