iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
BRN,Asia,Brunei,2020-03-09,1,1,,,,,2.227,2.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002,,,,,0
BRN,Asia,Brunei,2020-03-10,1,0,,,,,2.227,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002,,,,,0.0
BRN,Asia,Brunei,2020-03-11,11,10,,,,,24.499,22.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002,,,,,0.0
BRN,Asia,Brunei,2020-03-12,11,0,,,,,24.499,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002,,,,,0.0
BRN,Asia,Brunei,2020-03-13,37,26,,,,,82.405,57.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002,,,,,0.0
BRN,Asia,Brunei,2020-03-14,40,3,5.714,,,,89.086,6.681,12.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002,,,,,0.0
BRN,Asia,Brunei,2020-03-15,50,10,7.143,,,,111.358,22.272,15.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002,,,,,0.0
BRN,Asia,Brunei,2020-03-16,54,4,7.571,,,,120.267,8.909,16.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002,,,,,0.0
BRN,Asia,Brunei,2020-03-17,56,2,7.857,,,,124.721,4.454,17.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002,,,,,0.0
BRN,Asia,Brunei,2020-03-18,68,12,8.143,,,,151.447,26.726,18.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,449002,,,,,0.0
