iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
BMU,North America,Bermuda,2020-03-19,2,2,,,,,32.21,32.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,,0
BMU,North America,Bermuda,2020-03-20,2,0,,,,,32.21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,,0.0
BMU,North America,Bermuda,2020-03-21,2,0,,,,,32.21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,,0.0
BMU,North America,Bermuda,2020-03-22,6,4,,,,,96.631,64.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,,0.0
BMU,North America,Bermuda,2020-03-23,6,0,,,,,96.631,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,,0.0
BMU,North America,Bermuda,2020-03-24,6,0,0.857,,,,96.631,0.0,13.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,,0.0
BMU,North America,Bermuda,2020-03-25,7,1,1.0,,,,112.736,16.105,16.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,,0.0
BMU,North America,Bermuda,2020-03-26,15,8,1.857,,,,241.577,128.841,29.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,,0.0
BMU,North America,Bermuda,2020-03-27,17,2,2.143,,,,273.787,32.21,34.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,,0.0
BMU,North America,Bermuda,2020-03-28,17,0,2.143,,,,273.787,0.0,34.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.15,62092,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,,,,,0.0
