iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
CUW,North America,Curacao,2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19609.0,15406.0,4203.0,,,,11.9,9.35,2.55,,,,,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0
CUW,North America,Curacao,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20485.0,15755.0,4730.0,,876.0,876,12.43,9.56,2.87,,5316,349,0.212,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.0
CUW,North America,Curacao,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,5473,360,0.218,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22339.0,16498.0,5841.0,,,910,13.56,10.01,3.54,,5522,364,0.221,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045,,,,,6341,520,0.316,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,,,,,6833,614,0.373,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180,,,,,7160,677,0.411,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28137.0,20457.0,7680.0,,,1218,17.07,12.41,4.66,,7391,722,0.438,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30206.0,22031.0,8175.0,,2069.0,1389,18.33,13.37,4.96,,8429,897,0.544,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32330.0,23497.0,8833.0,,2124.0,1560,19.62,14.26,5.36,,9466,1053,0.639,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.02
