iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
CUW,North America,Curacao,2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19609,15406,4203,,,,11.9,9.35,2.55,,,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0
CUW,North America,Curacao,2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20485,15755,4730,,876,876,12.43,9.56,2.87,,5316,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.0
CUW,North America,Curacao,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,,,,,5473,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22339,16498,5841,,,910,13.56,10.01,3.54,,5522,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045,,,,,6341,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1126,,,,,6833,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180,,,,,7160,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28137,20457,7680,,,1218,17.07,12.41,4.66,,7391,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30206,22031,8175,,2069,1389,18.33,13.37,4.96,,8429,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.01
CUW,North America,Curacao,2021-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32330,23497,8833,,2124,1560,19.62,14.26,5.36,,9466,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.02
CUW,North America,Curacao,2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34130,24613,9517,,1800,1684,20.71,14.94,5.78,,10219,,164796,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,,0.03
