iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
PRT,Europe,Portugal,2020-01-06,,,,,,,,,,,,,,,,,,,,1.975,0.194,,,,,,,,,,,,,,,,,,,,,0.0,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,,,,,0
PRT,Europe,Portugal,2020-01-18,,,,,,,,,,,,,,,,,,,,8.888,0.874,,,,,,,,,,,,,,,,,,,,,0.0,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,,,,,0.0
PRT,Europe,Portugal,2020-01-24,,,,,,,,,,,,,,,,,,,,5.925,0.583,,,,,,,,,,,,,,,,,,,,,0.0,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,,,,,0.0
PRT,Europe,Portugal,2020-02-02,,,,,,,,,,,,,,,,,,,,9.876,0.971,,,,,,,,,,,,,,,,,,,,,5.56,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,-923.6,-6.49,-1.73,-90.8346768558338,0.0
PRT,Europe,Portugal,2020-02-09,,,,,,,,,,,,,,,,,,,,9.876,0.971,,,,,,,,,,,,,,,,,,,,,5.56,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,-1132.2,-6.69,-7.73,-111.350174465326,0.0
PRT,Europe,Portugal,2020-02-15,,,,,,,,,,,,,,,,,,,,15.801,1.554,,,,,,,,,,,,,,,,,,,,,5.56,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,,,,,0.0
PRT,Europe,Portugal,2020-02-23,,,,,,,,,,,,,,,,,,,,19.751,1.943,,,,,,,,,,,,,,,,,,,,,5.56,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,-1736.8,-7.83,-7.76,-170.811679042023,0.0
PRT,Europe,Portugal,2020-02-26,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.56,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,,,,,0.0
PRT,Europe,Portugal,2020-02-27,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.56,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,,,,,0.0
PRT,Europe,Portugal,2020-02-28,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,5.56,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,,,,,0.0
