iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
VEN,South America,Venezuela,2020-03-14,2,2,,,,,0.071,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,,0
VEN,South America,Venezuela,2020-03-15,10,8,,,,,0.353,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.85,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,,0
VEN,South America,Venezuela,2020-03-16,17,7,,,,,0.601,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,,0
VEN,South America,Venezuela,2020-03-17,33,16,,,,,1.166,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.63,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,,0
VEN,South America,Venezuela,2020-03-18,36,3,,,,,1.272,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,,0
VEN,South America,Venezuela,2020-03-19,42,6,6.0,,,,1.484,0.212,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,,0
VEN,South America,Venezuela,2020-03-20,42,0,6.0,,,,1.484,0.0,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,,0
VEN,South America,Venezuela,2020-03-21,70,28,9.714,,,,2.473,0.989,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,,0
VEN,South America,Venezuela,2020-03-22,70,0,8.571,,,,2.473,0.0,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,,0
VEN,South America,Venezuela,2020-03-23,77,7,8.571,,,,2.721,0.247,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,,0
VEN,South America,Venezuela,2020-03-24,84,7,7.286,,,,2.968,0.247,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,,0
