iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
MDG,Africa,Madagascar,2020-03-20,3,3,,,,,0.106,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,,0
MDG,Africa,Madagascar,2020-03-21,3,0,,,,,0.106,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,,0
MDG,Africa,Madagascar,2020-03-22,3,0,,,,,0.106,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.41,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,,0
MDG,Africa,Madagascar,2020-03-23,12,9,,,,,0.422,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,,0
MDG,Africa,Madagascar,2020-03-24,17,5,,,,,0.598,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,,0
MDG,Africa,Madagascar,2020-03-25,19,2,2.714,,,0.0,0.668,0.07,0.095,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,,0
MDG,Africa,Madagascar,2020-03-26,23,4,3.286,,,0.0,0.809,0.141,0.116,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,,0
MDG,Africa,Madagascar,2020-03-27,26,3,3.286,,,0.0,0.915,0.106,0.116,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,,0
MDG,Africa,Madagascar,2020-03-28,26,0,3.286,,,0.0,0.915,0.0,0.116,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,,0
MDG,Africa,Madagascar,2020-03-29,39,13,5.143,,,0.0,1.372,0.457,0.181,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.67,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,,0
